Year,City,Mascote,Tipo
1896,Athens,,
1896,Athens,,
1896,Athens,,
1896,Athens,,
1896,Athens,,
1896,Athens,,
1896,Athens,,
1896,Athens,,
1896,Athens,,
1896,Athens,,
1896,Athens,,
1896,Athens,,
1896,Athens,,
1896,Athens,,
1896,Athens,,
1896,Athens,,
1896,Athens,,
1896,Athens,,
1896,Athens,,
1896,Athens,,
1896,Athens,,
1896,Athens,,
1896,Athens,,
1896,Athens,,
1896,Athens,,
1896,Athens,,
1896,Athens,,
1896,Athens,,
1896,Athens,,
1896,Athens,,
1896,Athens,,
1896,Athens,,
1896,Athens,,
1896,Athens,,
1896,Athens,,
1896,Athens,,
1896,Athens,,
1896,Athens,,
1896,Athens,,
1896,Athens,,
1896,Athens,,
1896,Athens,,
1896,Athens,,
1896,Athens,,
1896,Athens,,
1896,Athens,,
1896,Athens,,
1896,Athens,,
1896,Athens,,
1896,Athens,,
1896,Athens,,
1896,Athens,,
1896,Athens,,
1896,Athens,,
1896,Athens,,
1896,Athens,,
1896,Athens,,
1896,Athens,,
1896,Athens,,
1896,Athens,,
1896,Athens,,
1896,Athens,,
1896,Athens,,
1896,Athens,,
1896,Athens,,
1896,Athens,,
1896,Athens,,
1896,Athens,,
1896,Athens,,
1896,Athens,,
1896,Athens,,
1896,Athens,,
1896,Athens,,
1896,Athens,,
1896,Athens,,
1896,Athens,,
1896,Athens,,
1896,Athens,,
1896,Athens,,
1896,Athens,,
1896,Athens,,
1896,Athens,,
1896,Athens,,
1896,Athens,,
1896,Athens,,
1896,Athens,,
1896,Athens,,
1896,Athens,,
1896,Athens,,
1896,Athens,,
1896,Athens,,
1896,Athens,,
1896,Athens,,
1896,Athens,,
1896,Athens,,
1896,Athens,,
1896,Athens,,
1896,Athens,,
1896,Athens,,
1896,Athens,,
1896,Athens,,
1896,Athens,,
1896,Athens,,
1896,Athens,,
1896,Athens,,
1896,Athens,,
1896,Athens,,
1896,Athens,,
1896,Athens,,
1896,Athens,,
1896,Athens,,
1896,Athens,,
1896,Athens,,
1896,Athens,,
1896,Athens,,
1896,Athens,,
1896,Athens,,
1896,Athens,,
1896,Athens,,
1896,Athens,,
1896,Athens,,
1896,Athens,,
1896,Athens,,
1896,Athens,,
1896,Athens,,
1896,Athens,,
1896,Athens,,
1896,Athens,,
1896,Athens,,
1896,Athens,,
1896,Athens,,
1896,Athens,,
1896,Athens,,
1896,Athens,,
1896,Athens,,
1896,Athens,,
1896,Athens,,
1896,Athens,,
1896,Athens,,
1896,Athens,,
1896,Athens,,
1896,Athens,,
1896,Athens,,
1896,Athens,,
1896,Athens,,
1896,Athens,,
1896,Athens,,
1896,Athens,,
1896,Athens,,
1896,Athens,,
1896,Athens,,
1900,Paris,,
1900,Paris,,
1900,Paris,,
1900,Paris,,
1900,Paris,,
1900,Paris,,
1900,Paris,,
1900,Paris,,
1900,Paris,,
1900,Paris,,
1900,Paris,,
1900,Paris,,
1900,Paris,,
1900,Paris,,
1900,Paris,,
1900,Paris,,
1900,Paris,,
1900,Paris,,
1900,Paris,,
1900,Paris,,
1900,Paris,,
1900,Paris,,
1900,Paris,,
1900,Paris,,
1900,Paris,,
1900,Paris,,
1900,Paris,,
1900,Paris,,
1900,Paris,,
1900,Paris,,
1900,Paris,,
1900,Paris,,
1900,Paris,,
1900,Paris,,
1900,Paris,,
1900,Paris,,
1900,Paris,,
1900,Paris,,
1900,Paris,,
1900,Paris,,
1900,Paris,,
1900,Paris,,
1900,Paris,,
1900,Paris,,
1900,Paris,,
1900,Paris,,
1900,Paris,,
1900,Paris,,
1900,Paris,,
1900,Paris,,
1900,Paris,,
1900,Paris,,
1900,Paris,,
1900,Paris,,
1900,Paris,,
1900,Paris,,
1900,Paris,,
1900,Paris,,
1900,Paris,,
1900,Paris,,
1900,Paris,,
1900,Paris,,
1900,Paris,,
1900,Paris,,
1900,Paris,,
1900,Paris,,
1900,Paris,,
1900,Paris,,
1900,Paris,,
1900,Paris,,
1900,Paris,,
1900,Paris,,
1900,Paris,,
1900,Paris,,
1900,Paris,,
1900,Paris,,
1900,Paris,,
1900,Paris,,
1900,Paris,,
1900,Paris,,
1900,Paris,,
1900,Paris,,
1900,Paris,,
1900,Paris,,
1900,Paris,,
1900,Paris,,
1900,Paris,,
1900,Paris,,
1900,Paris,,
1900,Paris,,
1900,Paris,,
1900,Paris,,
1900,Paris,,
1900,Paris,,
1900,Paris,,
1900,Paris,,
1900,Paris,,
1900,Paris,,
1900,Paris,,
1900,Paris,,
1900,Paris,,
1900,Paris,,
1900,Paris,,
1900,Paris,,
1900,Paris,,
1900,Paris,,
1900,Paris,,
1900,Paris,,
1900,Paris,,
1900,Paris,,
1900,Paris,,
1900,Paris,,
1900,Paris,,
1900,Paris,,
1900,Paris,,
1900,Paris,,
1900,Paris,,
1900,Paris,,
1900,Paris,,
1900,Paris,,
1900,Paris,,
1900,Paris,,
1900,Paris,,
1900,Paris,,
1900,Paris,,
1900,Paris,,
1900,Paris,,
1900,Paris,,
1900,Paris,,
1900,Paris,,
1900,Paris,,
1900,Paris,,
1900,Paris,,
1900,Paris,,
1900,Paris,,
1900,Paris,,
1900,Paris,,
1900,Paris,,
1900,Paris,,
1900,Paris,,
1900,Paris,,
1900,Paris,,
1900,Paris,,
1900,Paris,,
1900,Paris,,
1900,Paris,,
1900,Paris,,
1900,Paris,,
1900,Paris,,
1900,Paris,,
1900,Paris,,
1900,Paris,,
1900,Paris,,
1900,Paris,,
1900,Paris,,
1900,Paris,,
1900,Paris,,
1900,Paris,,
1900,Paris,,
1900,Paris,,
1900,Paris,,
1900,Paris,,
1900,Paris,,
1900,Paris,,
1900,Paris,,
1900,Paris,,
1900,Paris,,
1900,Paris,,
1900,Paris,,
1900,Paris,,
1900,Paris,,
1900,Paris,,
1900,Paris,,
1900,Paris,,
1900,Paris,,
1900,Paris,,
1900,Paris,,
1900,Paris,,
1900,Paris,,
1900,Paris,,
1900,Paris,,
1900,Paris,,
1900,Paris,,
1900,Paris,,
1900,Paris,,
1900,Paris,,
1900,Paris,,
1900,Paris,,
1900,Paris,,
1900,Paris,,
1900,Paris,,
1900,Paris,,
1900,Paris,,
1900,Paris,,
1900,Paris,,
1900,Paris,,
1900,Paris,,
1900,Paris,,
1900,Paris,,
1900,Paris,,
1900,Paris,,
1900,Paris,,
1900,Paris,,
1900,Paris,,
1900,Paris,,
1900,Paris,,
1900,Paris,,
1900,Paris,,
1900,Paris,,
1900,Paris,,
1900,Paris,,
1900,Paris,,
1900,Paris,,
1900,Paris,,
1900,Paris,,
1900,Paris,,
1900,Paris,,
1900,Paris,,
1900,Paris,,
1900,Paris,,
1900,Paris,,
1900,Paris,,
1900,Paris,,
1900,Paris,,
1900,Paris,,
1900,Paris,,
1900,Paris,,
1900,Paris,,
1900,Paris,,
1900,Paris,,
1900,Paris,,
1900,Paris,,
1900,Paris,,
1900,Paris,,
1900,Paris,,
1900,Paris,,
1900,Paris,,
1900,Paris,,
1900,Paris,,
1900,Paris,,
1900,Paris,,
1900,Paris,,
1900,Paris,,
1900,Paris,,
1900,Paris,,
1900,Paris,,
1900,Paris,,
1900,Paris,,
1900,Paris,,
1900,Paris,,
1900,Paris,,
1900,Paris,,
1900,Paris,,
1900,Paris,,
1900,Paris,,
1900,Paris,,
1900,Paris,,
1900,Paris,,
1900,Paris,,
1900,Paris,,
1900,Paris,,
1900,Paris,,
1900,Paris,,
1900,Paris,,
1900,Paris,,
1900,Paris,,
1900,Paris,,
1900,Paris,,
1900,Paris,,
1900,Paris,,
1900,Paris,,
1900,Paris,,
1900,Paris,,
1900,Paris,,
1900,Paris,,
1900,Paris,,
1900,Paris,,
1900,Paris,,
1900,Paris,,
1900,Paris,,
1900,Paris,,
1900,Paris,,
1900,Paris,,
1900,Paris,,
1900,Paris,,
1900,Paris,,
1900,Paris,,
1900,Paris,,
1900,Paris,,
1900,Paris,,
1900,Paris,,
1900,Paris,,
1900,Paris,,
1900,Paris,,
1900,Paris,,
1900,Paris,,
1900,Paris,,
1900,Paris,,
1900,Paris,,
1900,Paris,,
1900,Paris,,
1900,Paris,,
1900,Paris,,
1900,Paris,,
1900,Paris,,
1900,Paris,,
1900,Paris,,
1900,Paris,,
1900,Paris,,
1900,Paris,,
1900,Paris,,
1900,Paris,,
1900,Paris,,
1900,Paris,,
1900,Paris,,
1900,Paris,,
1900,Paris,,
1900,Paris,,
1900,Paris,,
1900,Paris,,
1900,Paris,,
1900,Paris,,
1900,Paris,,
1900,Paris,,
1900,Paris,,
1900,Paris,,
1900,Paris,,
1900,Paris,,
1900,Paris,,
1900,Paris,,
1900,Paris,,
1900,Paris,,
1900,Paris,,
1900,Paris,,
1900,Paris,,
1900,Paris,,
1900,Paris,,
1900,Paris,,
1900,Paris,,
1900,Paris,,
1900,Paris,,
1900,Paris,,
1900,Paris,,
1900,Paris,,
1900,Paris,,
1900,Paris,,
1900,Paris,,
1900,Paris,,
1900,Paris,,
1900,Paris,,
1900,Paris,,
1900,Paris,,
1900,Paris,,
1900,Paris,,
1900,Paris,,
1900,Paris,,
1900,Paris,,
1900,Paris,,
1900,Paris,,
1900,Paris,,
1900,Paris,,
1900,Paris,,
1900,Paris,,
1900,Paris,,
1900,Paris,,
1900,Paris,,
1900,Paris,,
1900,Paris,,
1900,Paris,,
1900,Paris,,
1900,Paris,,
1900,Paris,,
1900,Paris,,
1900,Paris,,
1900,Paris,,
1900,Paris,,
1900,Paris,,
1900,Paris,,
1900,Paris,,
1900,Paris,,
1900,Paris,,
1900,Paris,,
1900,Paris,,
1900,Paris,,
1900,Paris,,
1900,Paris,,
1900,Paris,,
1900,Paris,,
1900,Paris,,
1900,Paris,,
1900,Paris,,
1900,Paris,,
1900,Paris,,
1900,Paris,,
1900,Paris,,
1900,Paris,,
1900,Paris,,
1900,Paris,,
1900,Paris,,
1900,Paris,,
1900,Paris,,
1900,Paris,,
1900,Paris,,
