Id_Athlete,Athlete,Gender,Medal
,"ELLIOTT, Launceston",Men,Gold
,"JENSEN, Viggo",Men,Silver
,"VERSIS, Sotirios",Men,Bronze
,"JENSEN, Viggo",Men,Gold
,"ELLIOTT, Launceston",Men,Silver
,"CHRISTOPOULOS, Stephanos",Men,Bronze
,"SCHUMANN, Carl",Men,Gold
,"TSITAS, Georgios",Men,Silver
,"HALMAY, Zoltan",Men,Bronze
,"JARVIS, John Arthur",Men,Gold
,"WAHLE, Otto",Men,Silver
,"DROST, Johannes",Men,Bronze
,"HOPPENBERG, Ernst",Men,Gold
,"RUBERL, Karl",Men,Silver
,"RUBERL, Karl",Men,Bronze
,"LANE, Frederick C.V.",Men,Gold
,"HALMAY, Zoltan",Men,Silver
,"KEMP, Peter",Men,Bronze
,"LANE, Frederick C.V.",Men,Gold
,"WAHLE, Otto",Men,Silver
,HOUBEN,Men,Bronze
,"LEUILLIEUX, Jean",Men,Bronze
,"MARTIN, Louis",Men,Bronze
,"MERCHEZ, Désiré",Men,Bronze
,TARTARA,Men,Bronze
,"FREY, Julius",Men,Gold
,"HAINLE, Max",Men,Gold
,"HOPPENBERG, Ernst",Men,Gold
,"SCHÖNE, Max",Men,Gold
,"VON PETERSDORFF, Herbert",Men,Gold
,BERTRAND,Men,Silver
,CADET,Men,Silver
,"HOCHEPIED, Maurice",Men,Silver
,"HOCHEPIED, Victor",Men,Silver
,VERBECKE,Men,Silver
,"MARTIN, Louis",Men,Bronze
,"JARVIS, John Arthur",Men,Gold
,"HALMAY, Zoltan",Men,Silver
,"LYKKEBERG, Peder",Men,Bronze
,"DE VENDEVILLE, Charles",Men,Gold
,"SIX, André",Men,Silver
,"BURGESS, Thomas",Men,Bronze
,COULON,Men,Bronze
,"DECUYPER, Alphonse",Men,Bronze
,DEVENOT,Men,Bronze
,FARDELLE,Men,Bronze
,FAVIER,Men,Bronze
,"LAUFRAY, Louis",Men,Bronze
,LERICHE,Men,Bronze
,"MARTIN, Louis",Men,Bronze
,"MERCHEZ, Désiré",Men,Bronze
,"PESLIER, Henri",Men,Bronze
,PESLOY,Men,Bronze
,"TREFFEL, Charles",Men,Bronze
,"VASSEUR, Paul",Men,Bronze
,"COE, Thomas",Men,Gold
,"DERBYSHIRE, John Henry",Men,Gold
,"KEMP, Peter",Men,Gold
,"LISTER, William",Men,Gold
,"ROBERTSON, Arthur",Men,Gold
,"ROBINSON, Eric",Men,Gold
,"WILKINSON, George",Men,Gold
,"COHEN, Henri",Men,Silver
,"DE BACKER, Jean",Men,Silver
,"DE BEHR, Victor",Men,Silver
,"FEYAERTS, Fernand",Men,Silver
,"GREGOIRE, Oscar",Men,Silver
,"MICHANT, Albert",Men,Silver
,"SONNEMANS, Victor",Men,Silver
,"PETIT, Charles Frédéric",Men,Bronze
,"VAN INNIS, Hubert",Men,Gold
,"THIBAUD, Victor",Men,Silver
,"MERCIER, Emile",Men,Bronze
,"MOUGIN, Eugène",Men,Gold
,"HELLE, Henri",Men,Silver
,"PETIT, Charles Frédéric",Men,Bronze
,"VAN INNIS, Hubert",Men,Gold
,"THIBAUD, Victor",Men,Silver
,"FISSEUX, Emile",Men,Bronze
,"HEROUIN, Henri",Men,Gold
,"VAN INNIS, Hubert",Men,Silver
,"FOULON, Emmanuel",Men,Gold
,"DRUART, Jr.",Men,Silver
,"SERRURIER, Auguste",Men,Silver
,"GLINEUX, Louis",Men,Bronze
,"GRUMIAUX, Emile",Men,Gold
,"SERRURIER, Auguste",Men,Silver
,"ROWLEY, Stanley",Men,Bronze
,"JARVIS, Francis",Men,Gold
,"TEWKSBURY, Walter B. John",Men,Silver
,"MOLONEY, Frederick",Men,Bronze
,"KRAENZLEIN, Alvin",Men,Gold
,"MCLEAN, John",Men,Silver
,"BRAY, John",Men,Bronze
