Id_Athlete,Athlete,Gender,Medal
,"CONSOLINI, Adolfo",Men,Gold
,"TOSI, Giuseppe",Men,Silver
,"MAZEAS, Jacqueline",Women,Bronze
,"OSTERMEYER, Micheline",Women,Gold
,"CORDIALE-GENTILE, Edera",Women,Silver
,"BENNETT, Robert Howard",Men,Bronze
,"NEMETH, Imre",Men,Gold
,"GUBIJAN, Ivan",Men,Silver
,"STANICH, George Anthony",Men,Bronze
,"WINTER, John",Men,Gold
,"PAULSON, Bjorn Andreas",Men,Silver
,"OSTERMEYER, Micheline",Women,Bronze
,"COACHMAN, Alice Marie",Women,Gold
,"ODAM-TYLER, Dorothy Beatrice J.",Women,Silver
,"VARSZEGI, Jozsef",Men,Bronze
,"RAUTAVAARA, Kaj Tapio",Men,Gold
,"SEYMOUR, Stephen Andrew",Men,Silver
,"CARLSTEDT-KELSBY, Lily Marie Louise",Women,Bronze
,"BAUMA, Hermine (Herma)",Women,Gold
,"PARVIAINEN, Kaisa",Women,Silver
,"DOUGLAS, Herbert Paul Jr.",Men,Bronze
,"STEELE, William Samuel",Men,Gold
,"BRUCE, Thomas Theodore",Men,Silver
,"LEYMAN, Ann-Britt",Women,Bronze
,"GYARMATI, Olga",Women,Gold
,"SIMONETTO DE PORTELA, Noemi",Women,Silver
,"GAILLY, Etienne",Men,Bronze
,"CABRERA, Delfo",Men,Gold
,"RICHARDS, Thomas John Henry",Men,Silver
,"RICHARDS, Robert",Men,Bronze
,"SMITH, Owen Guinn",Men,Gold
,"KATAJA, Erkki Olavi",Men,Silver
,"FUCHS, James Emanuel",Men,Bronze
,"THOMPSON, Wilbur Marvin",Men,Gold
,"DELANEY, Francis James",Men,Silver
,"SCHÄFFER-MAYER, Ine",Women,Bronze
,"OSTERMEYER, Micheline",Women,Gold
,"PICCININI, Amelia",Women,Silver
,"SARIALP, Ruhi",Men,Bronze
,"AHMAN, Arne",Men,Gold
,"AVERY, George Gordon",Men,Silver
,"AZEVEDO EVORA, Affonso",Men,Bronze
,"BENVENUTI, L.",Men,Bronze
,"BRAZ, Joao Francisco",Men,Bronze
,"DE AZEVEDO, Zenny",Men,Bronze
,"DE FREITAS, Rui",Men,Bronze
,"DIAS, Marcus Vinicius",Men,Bronze
,"GEMIGNANI, Alexandro",Men,Bronze
,"MARSON, Alberto",Men,Bronze
,"PACHECO DE OLIVEIRA, Nilton",Men,Bronze
,"RODRIGUES DA MOTTA, Alfredo",Men,Bronze
,"RODRIGUES, G.",Men,Bronze
,"SORCINELLI, Massinet",Men,Bronze
,"BARKER, Clifford Eugene",Men,Gold
,"BARKSDALE, Donald Argee",Men,Gold
,"BEARD, Ralph Milton Jr.",Men,Gold
,"BECK, Lewis William Jr.",Men,Gold
,"BORYLA, Vincent Joseph",Men,Gold
,"CARPENTER, Gordon",Men,Gold
,"GROZA, Alexander John",Men,Gold
,"JONES, Wallace Clayton",Men,Gold
,"KURLAND, Robert Albert",Men,Gold
,"LUMPP, Raymond George",Men,Gold
,"PITTS, Robert C.",Men,Gold
,"RENICK, John (Jesse) Bernard",Men,Gold
,"ROBINSON, Robert L.Jackson",Men,Gold
,"ROLLINS, Kenneth Herman",Men,Gold
,"BARRAIS, Andre",Men,Silver
,"BONNEVIE, Michel",Men,Silver
,"BUFFIERE, Andre",Men,Silver
,"CHOCAT, Rene",Men,Silver
,"DERENCY, Rene",Men,Silver
,"DESAYMONNET, Maurice",Men,Silver
,"EVEN, Andre",Men,Silver
,"GIRARDOT, Maurice",Men,Silver
,"GUILLOU, Fernand",Men,Silver
,"OFFNER, Raymond",Men,Silver
,"PERRIER, Jacques",Men,Silver
,"QUENIN, Yvan",Men,Silver
,"ROBUFFIC, Lucien",Men,Silver
,"THIOLON, Pierre",Men,Silver
,"HAN, Soo-An",Men,Bronze
,"PEREZ, Pascual Nicolas",Men,Gold
,"BANDINELLI, Spartaco",Men,Silver
,"ARTHUR, John",Men,Bronze
,"IGLESIAS, Rafael",Men,Gold
,"NILSSON, Gunnar",Men,Silver
,"VENEGAS, Juan E.",Men,Bronze
,"CSIK, Tibor",Men,Gold
,"ZUDDAS, Gianbattista",Men,Silver
,"ANTKIEWICZ, Aleksy",Men,Bronze
,"FORMENTI, Ernesto",Men,Gold
,"SHEPHERD, Dennis",Men,Silver
,"WAD, Svend",Men,Bronze
,"DREYER, Gerald",Men,Gold
,"VISSERS, Joseph",Men,Silver
,"D'OTTAVIO, Alessandro",Men,Bronze
,"TORMA, Julius",Men,Gold
,"HERRING, Horace",Men,Silver
,"FONTANA, Ivano",Men,Bronze
,"PAPP, Laszlo",Men,Gold
,"WRIGHT, John A.",Men,Silver
,"CIA, Mauro",Men,Bronze
,"HUNTER, George",Men,Gold
,"SCOTT, Donald E.",Men,Silver
,"LANE, Norman Douglas",Men,Bronze
,"CAPEK, Frantisek",Men,Gold
,"HAVENS, Frank",Men,Silver
,"BOUTIGNY, Robert",Men,Bronze
,"HOLECEK, Josef",Men,Gold
,"BENNETT, Douglas H.",Men,Silver
,"DRANSART, Georges",Men,Bronze
,"GANDIL, Georges",Men,Bronze
,"LYSAK, Steven John",Men,Gold
,"MACKNOWSKI, Stephen Albert",Men,Gold
,"HAVEL, Vaclav",Men,Silver
,"PECKA, Jiri",Men,Silver
,"DRANSART, Georges",Men,Bronze
,"GANDIL, Georges",Men,Bronze
,"BRZAK-FELIX, Jan",Men,Gold
,"KUDRNA, Bohumil",Men,Gold
,"LYSAK, Steven John",Men,Silver
,"MACKNOWSKI, Stephen Albert",Men,Silver
,"SKABO, Eivind",Men,Bronze
,"FREDRIKSSON, Gert",Men,Gold
,"WIRES, Kurt Oskar",Men,Silver
,"EBERHART, Henri",Men,Bronze
,"FREDRIKSSON, Gert",Men,Gold
,"ANDERSEN, Johan Frederik Kobberup",Men,Silver
,"SCHWINGL, Friederike",Women,Bronze
,"HOFF, Karen",Women,Gold
,"VAN DER ANKER-DOEDENS, Alida Geertruida",Women,Silver
,"AXELSSON, Thor",Men,Bronze
,"BJÖRKLÖF, Nils",Men,Bronze
,"AKERLUND, Gunnar",Men,Gold
,"WETTERSTRÖM, Hans",Men,Gold
,"MATHISEN, Ivar",Men,Silver
,"OSTBYE, Knut",Men,Silver
,"AXELSSON, Thor",Men,Bronze
,"BJÖRKLÖF, Nils",Men,Bronze
,"BERGLUND, Hans",Men,Gold
,"KLINGSTRÖM, Lennart",Men,Gold
,"HANSEN, Ejvind Willy",Men,Silver
,"JENSEN, Jakob Bernhard Christian",Men,Silver
,"WOUTERS, Lode Alphonse",Men,Bronze
,"BEYAERT, Jose",Men,Gold
,"VOORTING, Gerardus Petrus",Men,Silver
,"BEYAERT, Jose",Men,Bronze
,"DUPONT, Jacques",Men,Bronze
,"MOINEAU, Alain",Men,Bronze
,"DELATHOUWER, Leon",Men,Gold
,"VAN ROSOSBROECK, Eugene",Men,Gold
,"WOUTERS, Lode Alphonse",Men,Gold
,"MAITLAND, Robert John",Men,Silver
,"SCOTT, Cyril Ian",Men,Silver
,"THOMAS, Gordon W.",Men,Silver
,"GODWIN, Thomas Charles",Men,Bronze
,"DUPONT, Jacques",Men,Gold
,"NIHANT, Pierre",Men,Silver
,"DRON, Georges",Men,Bronze
,"FAYE, Rene",Men,Bronze
,"PERONA, Renato",Men,Gold
,"TERRUZZI, Ferdinando",Men,Gold
,"BANNISTER, Alan",Men,Silver
,"HARRIS, Reginald Hargreaves",Men,Silver
,"SCHANDORFF, Axel Carl",Men,Bronze
,"GHELLA, Mario",Men,Gold
,"HARRIS, Reginald Hargreaves",Men,Silver
,"GELDARD, Robert Alan",Men,Bronze
,"GODWIN, Thomas Charles",Men,Bronze
,"RICKETTS, David Edward",Men,Bronze
,"WATERS, Wilfrid",Men,Bronze
,"ADAM, Pierre",Men,Gold
,"BLUSSON, Serge",Men,Gold
,"COSTE, Charles",Men,Gold
,"DECANALI, Fernand",Men,Gold
,"BENFENATI, Arnaldo",Men,Silver
,"BERNARDI, Guido",Men,Silver
,"CITTERIO, Anselmo",Men,Silver
,"PUCCI, Rino",Men,Silver
,"BOLTENSTERN JR., Gustaf Adolf",Men,Bronze
,"MOSER, Hans",Men,Gold
,"JOUSSEAUME, Andre Rene",Men,Silver
,"PAES, Fernando Silva",Men,Bronze
,"SILVA, Luiz",Men,Bronze
,"VALADAS, Francisco",Men,Bronze
,"BURET, Maurice",Men,Gold
,"JOUSSEAUME, Andre Rene",Men,Gold
,"SAINT-FORT PAILLARD, Jean Gerard",Men,Gold
,"BORG, Robert John",Men,Silver
,"HENRY, Frank Sherman",Men,Silver
,"THOMSON, Earl Foster",Men,Silver
,"SELFELT, Robert",Men,Bronze
,"CHEVALLIER, Bernard",Men,Gold
,"HENRY, Frank Sherman",Men,Silver
,"CAMPERO, Raul",Men,Bronze
,"MARILES CORTES, Humberto",Men,Bronze
,"SOLANO CHAGOYA, Joaquin",Men,Bronze
,"ANDERSON, Charles Howard",Men,Gold
,"HENRY, Frank Sherman",Men,Gold
,"THOMSON, Earl Foster",Men,Gold
,"SELFELT, Robert",Men,Silver
,"STAHRE, Olof",Men,Silver
,"SVENSSON, Sigurd",Men,Silver
,"D'ORGEIX, Jean Francois",Men,Bronze
,"MARILES CORTES, Humberto",Men,Gold
,"URIZA CASTRO, Ruben",Men,Silver
,"CARR, Arthur",Men,Bronze
,"LLEWELLYN, Harry Morton",Men,Bronze
,"NICOLL, Henry Morison Vere",Men,Bronze
,"MARILES CORTES, Humberto",Men,Gold
,"URIZA CASTRO, Ruben",Men,Gold
,"VALDEZ RAMOS, Alberto",Men,Gold
,"GARCIA CRUZ, Jaime",Men,Silver
,"GAVILAN Y PONCE DE LEON, Marcelino",Men,Silver
,"NAVARRO MORENES, Jose",Men,Silver
,"MANGIAROTTI, Edoardo",Men,Bronze
,"CANTONE, Luigi",Men,Gold
,"ZAPPELLI, Oswald",Men,Silver
,"CARLESON, Per Hjalmar",Men,Bronze
,"CERVELL, Frank",Men,Bronze
,"FORSSELL, Carl",Men,Bronze
,"LJUNGQUIST, Bengt",Men,Bronze
,"THOFELT, Sven",Men,Bronze
,"TOLLBOM, Arne",Men,Bronze
,"ARTIGAS, Edouard",Men,Gold
,"DESPRETS, Marcel",Men,Gold
,"GUERIN, Henri",Men,Gold
,"HUET, Maurice",Men,Gold
,"LEPAGE, Henri",Men,Gold
,"PECHEUX, Michel",Men,Gold
,"AGOSTONI, Carlo",Men,Silver
,"CANTONE, Luigi",Men,Silver
,"MANDRUZZATO, Marc Antonio",Men,Silver
,"MANGIAROTTI, Dario",Men,Silver
,"MANGIAROTTI, Edoardo",Men,Silver
,"MARINI, Fiorenzo",Men,Silver
,"MASZLAY, Lajos",Men,Bronze
,"BUHAN, Jehan",Men,Gold
,"D'ORIOLA, Christian",Men,Silver
,"PREIS-MÜLLER, Ellen S.",Women,Bronze
,"ELEK, Ilona",Women,Gold
,"LACHMANN, Karen Vilhelmine",Women,Silver
,"BRU, Raymond",Men,Bronze
,"DE BOURGIGNON, Georges Camille",Men,Bronze
,"PATERNOSTER, Henri",Men,Bronze
,"VALCKE, Paul Louis Jean",Men,Bronze
,"VAN DE WERWE DE VORSSELAERE, Andre",Men,Bronze
,"YVES, Edouard",Men,Bronze
,"BONIN, Andre",Men,Gold
,"BOUGNOL, René",Men,Gold
,"BUHAN, Jehan",Men,Gold
,"D'ORIOLA, Christian",Men,Gold
,"LATASTE, Jacques",Men,Gold
,"ROMMEL, Adrien",Men,Gold
,"DI ROSA, Manlio",Men,Silver
,"MANGIAROTTI, Edoardo",Men,Silver
,"NOSTINI, Giuliano",Men,Silver
,"NOSTINI, Renzo",Men,Silver
,"PELLINI, Giorgio",Men,Silver
,"RAGNO, Saverio",Men,Silver
,"KOVACS, Pal Adam",Men,Bronze
,"GEREVICH, Aladar",Men,Gold
,"PINTON, Vincenzo",Men,Silver
,"CETRULO, Dean Victor",Men,Bronze
,"COHN-ARMITAGE, Norman",Men,Bronze
,"DE CAPRILES, Miguel Angel",Men,Bronze
,"FLYNN, James Hummitzsch",Men,Bronze
,"NYILAS, Tibor Andrew",Men,Bronze
,"WORTH, George Vitez",Men,Bronze
,"BERCZELLY, Tibor",Men,Gold
,"GEREVICH, Aladar",Men,Gold
,"KARPATI, Rudolf",Men,Gold
,"KOVACS, Pal Adam",Men,Gold
,"PAPP, Bertalan",Men,Gold
,"RAJCSANYI, Laszlo",Men,Gold
,"DARE, Gastone",Men,Silver
,"MONTANO, Aldo",Men,Silver
,"NOSTINI, Renzo",Men,Silver
,"PINTON, Vincenzo",Men,Silver
,"RACCA, Mauro",Men,Silver
,"TURCATO, Carlo",Men,Silver
,"HANSEN, Jens Peter",Men,Bronze
,"HANSEN, John Angelo Valdemar Oster.",Men,Bronze
,"HANSEN, Karl Aage",Men,Bronze
,"JENSEN, Hans Viggo",Men,Bronze
,"JENSEN, Tage Ivan Linde",Men,Bronze
,"LUNDBERG, Knud",Men,Bronze
,"NIELSEN, Eigil Louis Marinus Ferdinand",Men,Bronze
,"ORNVOLD, Dion Erhardt",Men,Bronze
,"OVERGAARD, Knud Borge",Men,Bronze
,"PILMARK, Axel Peter",Men,Bronze
,"PLOGER, Johannes Theodor Louis",Men,Bronze
,"PRAEST, Carl Aage Andersen",Men,Bronze
,"SEEBACH, Holger",Men,Bronze
,"SÖRENSEN, Jörgen Leschly",Men,Bronze
,"ANDERSSON, Sune",Men,Gold
,"CARLSSON, Henry",Men,Gold
,"GREN, Gunnar",Men,Gold
,"LEANDER, Barje",Men,Gold
,"LIEDHOLM, Nils",Men,Gold
,"LINDBERG, Torsten",Men,Gold
,"NILSSON, Erik",Men,Gold
,"NORDAHL, Bertil",Men,Gold
,"NORDAHL, Gunnar",Men,Gold
,"NORDAHL, Knut",Men,Gold
,"ROSEN, Kjell",Men,Gold
,"ROSENGREN, Birger",Men,Gold
,"ATANASKOVIC, Aleksandar",Men,Silver
,"BOBEK, Stjepan",Men,Silver
,"BROZOVIC, Miroslav",Men,Silver
,"CAJKOVSKI, Zeljko",Men,Silver
,"CAJKOVSKI, Zlatko",Men,Silver
,"CIMERMANCIC, Zvonko",Men,Silver
,"JOVANOVIC, Miodrag",Men,Silver
,"LOVRIC, Ljubomir",Men,Silver
,"MIHAJLOVIC, Prvoslav",Men,Silver
,"MITIC, Rajko",Men,Silver
,"SOSTARIC, Franjo",Men,Silver
,"STANKOVIC, Branislav",Men,Silver
,"TOMASEVIC, Kosta",Men,Silver
,"VUKAS, Bernard",Men,Silver
,"WÖLFL, Franjo",Men,Silver
,"RUZICKA, Zdenek",Men,Bronze
,"PATAKI, Ferenc",Men,Gold
,"MOGYOROSI-KLENCS, Janos",Men,Silver
,"HUHTANEN, Veikko",Men,Bronze
,"STALDER, Josef",Men,Gold
,"LEHMANN, Walter",Men,Silver
,"AALTONEN, Paavo Johannes",Men,Bronze
,"HUHTANEN, Veikko",Men,Gold
,"LEHMANN, Walter",Men,Silver
,"KIPFER, Christian",Men,Bronze
,"STALDER, Josef",Men,Bronze
,"REUSCH, Michael",Men,Gold
,"HUHTANEN, Veikko",Men,Silver
,"AALTONEN, Paavo Johannes",Men,Gold
,"HUHTANEN, Veikko",Men,Gold
,"SAVOLAINEN, Heikki",Men,Gold
,"RUZICKA, Zdenek",Men,Bronze
,"FREI, Karl",Men,Gold
,"REUSCH, Michael",Men,Silver
,"BARANYAI, Laszlo",Men,Bronze
,"FEKETE, Jozsef",Men,Bronze
,"MOGYOROSI, Gyözö",Men,Bronze
,"MOGYOROSI-KLENCS, Janos",Men,Bronze
,"PATAKI, Ferenc",Men,Bronze
,"SANTHA, Lajos",Men,Bronze
,"TOTH, Lajos",Men,Bronze
,"VARKOI, Ferenc",Men,Bronze
,"AALTONEN, Paavo Johannes",Men,Gold
,"HUHTANEN, Veikko",Men,Gold
,"LAITINEN, Kalevi Johannes",Men,Gold
,"ROVE, Olavi Antero",Men,Gold
,"SAARVALA, Aleksanteri",Men,Gold
,"SALMI, Sulo Artur",Men,Gold
,"SAVOLAINEN, Heikki",Men,Gold
,"TERÄSVIRTA, Einari Allan",Men,Gold
,"FREI, Karl",Men,Silver
,"KIPFER, Christian",Men,Silver
,"LEHMANN, Walter",Men,Silver
,"LUCY, Robert",Men,Silver
,"REUSCH, Michael",Men,Silver
,"STALDER, Josef",Men,Silver
,"STUDER, Emil",Men,Silver
,"THALMANN, Melchior",Men,Silver
,"BAKANIC, Ladislava Aloisie",Women,Bronze
,"BARONE, Marian Emma Twining",Women,Bronze
,"CARRUCCIO-LENZ, Consetta Anne",Women,Bronze
,"DALTON, Dorothy Catherine",Women,Bronze
,"ELSTE-NEUMANN, Meta",Women,Bronze
,"SCHIFANO, Helen Mary",Women,Bronze
,"SCHROTH-LOMADY, Clara Marie",Women,Bronze
,"SIMONIS, Anita Aline",Women,Bronze
,"HONSOVA, Zdenka",Women,Gold
,"KOVAROVA, Marie",Women,Gold
,"MISAKOVA, Miloslava",Women,Gold
,"MÜLLEROVA, Milena",Women,Gold
,"RUZICKOVA, Vera",Women,Gold
,"SILHANOVA, Olga",Women,Gold
,"SRNCOVA, Bozena",Women,Gold
,"VERMIROVSKA, Zdenka",Women,Gold
,"FEHER, Anna",Women,Silver
,"GULYAS-KÖTELES, Erzsebet",Women,Silver
,"KARSICS-DARUHAZI, Iren",Women,Silver
,"KÖVI-ZALAI, Maria",Women,Silver
,"NAGY-SANDOR, Margit",Women,Silver
,"SARKANY-BALASZ, Erzebet",Women,Silver
,"TASS LEMHENYI, Olga",Women,Silver
,"VASARHELYI (WECKINGER), Edit",Women,Silver
,"MOGYOROSI-KLENCS, Janos",Men,Bronze
,"PATAKI, Ferenc",Men,Bronze
,"SOTORNIK, Leo",Men,Bronze
,"AALTONEN, Paavo Johannes",Men,Gold
,"ROVE, Olavi Antero",Men,Silver
,"BOERSTRA, Andries Cornelis Dirk",Men,Bronze
,"BOUWMAN, Hendricus Nicolaas",Men,Bronze
,"BROMBERG, Pieter Marie Johan",Men,Bronze
,"DERCKX, Henri Jean Joseph",Men,Bronze
,"DRIJVER, Johan Frederik",Men,Bronze
,"ESSER, Rius Theo",Men,Bronze
,"KRUIZE, Jan Hendrik",Men,Bronze
,"LANGHOUT, Jenne",Men,Bronze
,"LOGGERE, Hermanus Pieter",Men,Bronze
,"RICHTER, Antonius Maria",Men,Bronze
,"TIEL, Edouard Herbert",Men,Bronze
,"VAN HEEL, Willem",Men,Bronze
,"AHKTAR, Hussain",Men,Gold
,"CLAUDIUS, Leslie Walter",Men,Gold
,"DATT, Keshava",Men,Gold
,"D'SOUZA, Walter",Men,Gold
,"FERNANDES, Lawrence",Men,Gold
,"FRANCIS, Ranganandhan",Men,Gold
,"GLACKEN, Gerald",Men,Gold
,"JANSEN, Patrick",Men,Gold
,"KUMAR, Amir Chand",Men,Gold
,"LAL, Kishan",Men,Gold
,"LATIF, Ur Rehman",Men,Gold
,"PINTO, Leo",Men,Gold
,"RAJPUT, Jaswant",Men,Gold
,"RODRIGUES, Reginald",Men,Gold
,"SINGH DOSANJH, Balbir",Men,Gold
,"SINGH GENTLE, Randhir",Men,Gold
,"SINGH, Grahanandan Nandy",Men,Gold
,"SINGH, Kunwar Digvijai",Men,Gold
,"SINGH, Trilochan",Men,Gold
,"VAZ, Max",Men,Gold
,"ADLARD, Robert Edward",Men,Silver
,"BORRETT, Norman Francis",Men,Silver
,"BRODIE, David L.S.",Men,Silver
,"DAVIS, Ronald",Men,Silver
,"GRIFFITHS, William Salterlee",Men,Silver
,"LINDSAY, Frederick Robin",Men,Silver
,"LINDSAY, William L.C.",Men,Silver
,"PEAKE, John Morris",Men,Silver
,"REYNOLDS, Frank O.",Men,Silver
,"SIME, George B.",Men,Silver
,"WALFORD, Michael Moore",Men,Silver
,"WHITE, William Neil",Men,Silver
,"GÄRDIN, Gösta",Men,Bronze
,"GRUT, William",Men,Gold
,"MOORE, George Bissland",Men,Silver
,"BONI, Bruno",Men,Bronze
,"FANETTI, Felice",Men,Bronze
,"LAURIE, William",Men,Gold
,"WILSON, John",Men,Gold
,"KALT, Hans",Men,Silver
,"KALT, Josef",Men,Silver
,"JONES, William",Men,Bronze
,"RODRIGUEZ, Juan A.",Men,Bronze
,"BURNELL, Richard Desborough",Men,Gold
,"BUSHNELL, Bertram Herbert Th.",Men,Gold
,"LARSEN, Aage Ernst",Men,Silver
,"PARSNER, Ebbe Vestermann",Men,Silver
,"GRAN OLSEN/GRANGARD, Halfdan",Men,Bronze
,"HANSEN, Hans Egil",Men,Bronze
,"KRAAKENES, Harald",Men,Bronze
,"KRAAKENES, Thorstein",Men,Bronze
,"LEPSOË, Kristoffer",Men,Bronze
,"MONSSEN, Carl Henrik",Men,Bronze
,"MONSSEN, Sigurd",Men,Bronze
,"NAESS, Leif",Men,Bronze
,"PEDERSEN, Thor",Men,Bronze
,"AHLGREN, George Lewis",Men,Gold
,"BROWN, David Preston",Men,Gold
,"BUTLER, Lloyd Lemarr",Men,Gold
,"HARDY, James Herbert",Men,Gold
,"PURCHASE, Ralph Kenneth",Men,Gold
,"SMITH, Justus Ketcham",Men,Gold
,"STACK, John Charles",Men,Gold
,"TURNER, David Lindsay",Men,Gold
,"TURNER, Ian Gordon",Men,Gold
,"BARTON, Christopher Bertram",Men,Silver
,"BIRCHER, Ernest Augustus Paul",Men,Silver
,"DEARLOVE, Jack G.",Men,Silver
,"LAPAGE, Michael Clement",Men,Silver
,"LLOYD, Charles Brian Murray",Men,Silver
,"MASSEY, Paul Mackintosh O.",Men,Silver
,"MELLOWS, Alfred Paul",Men,Silver
,"MEYRICK, David John Charlton",Men,Silver
,"RICHARDSON, Guy Colquhoun",Men,Silver
,"GATES, Gregory Crozier",Men,Bronze
,"GRIFFING, Stuart Lane",Men,Bronze
,"KINGSBURY, Frederick John Iv",Men,Bronze
,"PEREW, Roben Strahan",Men,Bronze
,"FAGGI, Francesco",Men,Gold
,"INVERNIZZI, Giovanni",Men,Gold
,"MOIOLI, Giuseppe",Men,Gold
,"MORILLE, Elio",Men,Gold
,"HALKJAER, Helge",Men,Silver
,"HANSEN, Aksel Bonde",Men,Silver
,"LARSEN, Ib Storm",Men,Silver
,"SCHRÖDER, Helge Muxoll",Men,Silver
,"KNUDSEN, Harry Madsen",Men,Bronze
,"LARSEN, Erik Christian",Men,Bronze
,"LARSEN, Henry Christian",Men,Bronze
,"NIELSEN, Börge Daniel Raahauge",Men,Bronze
,"OLSEN, Jörgen Ib",Men,Bronze
,"GIOVANELLI, Gordon Stephen",Men,Gold
,"MARTIN, Robert Doud",Men,Gold
,"MORGAN, Allan Jerome",Men,Gold
,"WESTLUND, Warren Dehaven",Men,Gold
,"WILL, Robert Ide",Men,Gold
,"KNECHT, Emile A.",Men,Silver
,"MOCCAND, Andre",Men,Silver
,"REICHLING, Rudolf",Men,Silver
,"SCHRIEVER, Erich",Men,Silver
,"STEBLER, Pierre Armand",Men,Silver
,"SZENDEY, Antal",Men,Bronze
,"ZIMONYI, Robert",Men,Bronze
,"ZSITNIK SR., Bela",Men,Bronze
,"ANDERSEN, Carl-Ebbe",Men,Gold
,"HENRIKSEN, Tage",Men,Gold
,"PEDERSEN, Finn",Men,Gold
,"RADI, Alberto",Men,Silver
,"STEFFE, Giovanni",Men,Silver
,"TARLAO, Aldo",Men,Silver
,"CATASTA, Romolo",Men,Bronze
,"WOOD, Merwyn Thomas",Men,Gold
,"RISSO, Eduardo G.",Men,Silver
,"AMELN, Carl-Robert",Men,Bronze
,"HINDORFF, Martin",Men,Bronze
,"HOLM, Tore",Men,Bronze
,"LORD, Torsten",Men,Bronze
,"SALEN, Gösta",Men,Bronze
,"LOOMIS, Alfred Lee Jr.",Men,Gold
,"MOONEY, Michael Macdonald",Men,Gold
,"SMITH, James Hopkins Jr.",Men,Gold
,"WEEKES, James Higgonson",Men,Gold
,"WHITON, Herman Frasch",Men,Gold
,"HOMP, Emilio C.",Men,Silver
,"RIVADEMAR, Rodolfo",Men,Silver
,"RODRIGUEZ DE LA TORRE, Rufino",Men,Silver
,"SIEBURGER JR., Enrique Conrado",Men,Silver
,"SIEBURGER SR., Enrique Conrado",Men,Silver
,"SIEBURGER, Julio Christian",Men,Silver
,"BAESS, Klaus Baard",Men,Bronze
,"BERNTSEN, Ole Valdemar Henrik",Men,Bronze
,"BERNTSEN, William Eldred",Men,Bronze
,"BARFOD, Haakon",Men,Gold
,"LIE, Sigve",Men,Gold
,"THORVALDSEN, Thor",Men,Gold
,"BOHLIN, Folke",Men,Silver
,"BRODIN, Gösta",Men,Silver
,"JOHNSON, Hugo",Men,Silver
,"DE JONG, Jacobus Hermanus Hendrik",Men,Bronze
,"ELVSTROM, Paul",Men,Gold
,"EVANS, Ralph Liggett Jr.",Men,Silver
,"PIRIE, Lockwood Masters",Men,Bronze
,"TORREY, Owen Cates Jr.",Men,Bronze
,"BOND, David John Were",Men,Gold
,"MORRIS, Stewart Harold",Men,Gold
,"BELLO, Duarte M.D'Almeida",Men,Silver
,"BELLO, Fernando Pinto Coelho",Men,Silver
,"MAAS, Adriaan Lambertus Joseph",Men,Bronze
,"STUTTERHEIM, Edward",Men,Bronze
,"SMART, Hilary Hurlburt",Men,Gold
,"SMART, Paul Hurlburt",Men,Gold
,"DE CARDENAS CULMELL, Carlos",Men,Silver
,"DE CARDENAS PLA, Carlos",Men,Silver
,"LUNDQUIST, Sven",Men,Bronze
,"TAKACS, Karoly",Men,Gold
,"DIAZ SAENZ VALIENTE, Carlos Enrique",Men,Silver
,"RÖGEBERG, Willy",Men,Bronze
,"GRÜNIG, Emil",Men,Gold
,"JANHONEN, Pauli Aapeli",Men,Silver
,"ULLMAN, Torsten",Men,Bronze
,"VASQUEZ CAM, Edwin",Men,Gold
,"SCHNYDER, Rudolf",Men,Silver
,"JONSSON, Jonas",Men,Bronze
,"COOK, Arthur Edwin",Men,Gold
,"TOMSEN, Walter",Men,Silver
,"TOM, Richard Watt Sung",Men,Bronze
,"DE PIETRO, Joseph Nicholas",Men,Gold
,"CREUS, Julian",Men,Silver
,"CHARITE, Abraham",Men,Bronze
,"DAVIS, John Henry Jr.",Men,Gold
,"SCHEMANSKY, Norbert",Men,Silver
,"SALMASSI, Jafar Mohammad",Men,Bronze
,"FAYAD, Mahmoud",Men,Gold
,"WILKES, Rodney Adolphus",Men,Silver
,"HALLIDAY, James",Men,Bronze
,"SHAMS, Ibrahim Hassanein",Men,Gold
,"HAMOUDA, Attia Mohamed",Men,Silver
,"KIM, Sung-Jip",Men,Bronze
,"SPELLMAN, Frank Isaac",Men,Gold
,"GEORGE, Peter T.",Men,Silver
,"MAGNUSSON, Gösta",Men,Bronze
,"STANCZYK, Stanley Anthony",Men,Gold
,"SAKATA, Harold Toshiyuki",Men,Silver
,"JOHANSSON, Thure",Men,Bronze
,"VIITALA, Lenni",Men,Gold
,"BALAMIR, Halit",Men,Silver
,"ARMSTRONG, Joseph",Men,Bronze
,"BOBIS, Gyula",Men,Gold
,"ANTONSSON, Bertil",Men,Silver
,"KOUYOS, Charles",Men,Bronze
,"AKAR, Nazuh",Men,Gold
,"LEEMAN, Gerald Grant",Men,Silver
,"MÜLLER, Adolf",Men,Bronze
,"BILGE, Gazanfer",Men,Gold
,"SJÖLIN, Ivar",Men,Silver
,"BAUMANN, Hermann",Men,Bronze
,"ATIK, Celal",Men,Gold
,"FRÄNDFORS-JÖNSSON, Gösta",Men,Silver
,"MERRILL, Leland Gilbert Jr.",Men,Bronze
,"DOGU, Yasar",Men,Gold
,"GARRARD, Richard Edward",Men,Silver
,"LINDEN, Erik",Men,Bronze
,"BRAND, Glen",Men,Gold
,"CANDEMIR, Adil",Men,Silver
,"FAHLKVIST, Bengt",Men,Bronze
,"WITTENBERG, Henry",Men,Gold
,"STÖCKLI, Fritz",Men,Silver
