NOME;PAIS_ORIGEM;GENERO;PREPARADOR FISICO;TECNICO;;;;;;;
VON PETERSDORFF, Herbert;GER;Men;;;;;;;;;
BERTRAND;FRA;Men;;;;;;;;;
CADET;FRA;Men;;;;;;;;;
HOCHEPIED, Maurice;FRA;Men;;;;;;;;;
HOCHEPIED, Victor;FRA;Men;;;;;;;;;
VERBECKE;FRA;Men;;;;;;;;;
LYKKEBERG, Peder;DEN;Men;;;;;;;;;
DE VENDEVILLE, Charles;FRA;Men;;;;;;;;;
SIX, Andr??;FRA;Men;;;;;;;;;
BURGESS, Thomas;FRA;Men;;;;;;;;;
COULON;FRA;Men;;;;;;;;;
DECUYPER, Alphonse;FRA;Men;;;;;;;;;
DEVENOT;FRA;Men;;;;;;;;;
FARDELLE;FRA;Men;;;;;;;;;
FAVIER;FRA;Men;;;;;;;;;
LAUFRAY, Louis;FRA;Men;;;;;;;;;
LERICHE;FRA;Men;;;;;;;;;
PESLIER, Henri;FRA;Men;;;;;;;;;
PESLOY;FRA;Men;;;;;;;;;
TREFFEL, Charles;FRA;Men;;;;;;;;;
VASSEUR, Paul;FRA;Men;;;;;;;;;
COE, Thomas;GBR;Men;;;;;;;;;
DERBYSHIRE, John Henry;GBR;Men;;;;;;;;;
LISTER, William;GBR;Men;;;;;;;;;
ROBERTSON, Arthur;GBR;Men;;;;;;;;;
ROBINSON, Eric;GBR;Men;;;;;;;;;
WILKINSON, George;GBR;Men;;;;;;;;;
COHEN, Henri;BEL;Men;;;;;;;;;
DE BACKER, Jean;BEL;Men;;;;;;;;;
DE BEHR, Victor;BEL;Men;;;;;;;;;
FEYAERTS, Fernand;BEL;Men;;;;;;;;;
GREGOIRE, Oscar;BEL;Men;;;;;;;;;
MICHANT, Albert;BEL;Men;;;;;;;;;
SONNEMANS, Victor;BEL;Men;;;;;;;;;
PETIT, Charles Fr??d??ric;FRA;Men;;;;;;;;;
VAN INNIS, Hubert;BEL;Men;;;;;;;;;
THIBAUD, Victor;FRA;Men;;;;;;;;;
MERCIER, Emile;FRA;Men;;;;;;;;;
MOUGIN, Eug??ne;FRA;Men;;;;;;;;;
HELLE, Henri;FRA;Men;;;;;;;;;
FISSEUX, Emile;FRA;Men;;;;;;;;;
HEROUIN, Henri;FRA;Men;;;;;;;;;
FOULON, Emmanuel;BEL;Men;;;;;;;;;
DRUART, Jr.;BEL;Men;;;;;;;;;
SERRURIER, Auguste;FRA;Men;;;;;;;;;
GLINEUX, Louis;BEL;Men;;;;;;;;;
GRUMIAUX, Emile;FRA;Men;;;;;;;;;
ROWLEY, Stanley;AUS;Men;;;;;;;;;
JARVIS, Francis;USA;Men;;;;;;;;;
TEWKSBURY, Walter B. John;USA;Men;;;;;;;;;
MOLONEY, Frederick;USA;Men;;;;;;;;;
KRAENZLEIN, Alvin;USA;Men;;;;;;;;;
MCLEAN, John;USA;Men;;;;;;;;;
BRAY, John;USA;Men;;;;;;;;;
BENNETT, Charles;GBR;Men;;;;;;;;;
DELOGE, Henri;FRA;Men;;;;;;;;;
PRITCHARD, Norman;IND;Men;;;;;;;;;
CHASTANIE, Jacques;FRA;Men;;;;;;;;;
ORTON, George;CAN;Men;;;;;;;;;
ROBINSON, Sidney;GBR;Men;;;;;;;;;
RIMMER, John;GBR;Men;;;;;;;;;
SCHULTZ, Ernst;DEN;Men;;;;;;;;;
LONG, Maxwell W.Maxey;USA;Men;;;;;;;;;
HOLLAND, William;USA;Men;;;;;;;;;
TAUZIN, Henri;FRA;Men;;;;;;;;;
TYSOE, Alfred;ZZX;Men;;;;;;;;;
CASTANET, Andr??;FRA;Men;;;;;;;;;
CHAMPOUDRY, Michel;FRA;Men;;;;;;;;;
RAGUENEAU, Gaston;FRA;Men;;;;;;;;;
HALL, David;USA;Men;;;;;;;;;
CREGAN, John;USA;Men;;;;;;;;;
SHELDON, Richard;USA;Men;;;;;;;;;
BAUER, Rudolf;HUN;Men;;;;;;;;;
JANDA, Frantisek;BOH;Men;;;;;;;;;
MCCRACKEN, Josiah;USA;Men;;;;;;;;;
FLANAGAN, John Jesus;USA;Men;;;;;;;;;
HARE, Thomas Truxton;USA;Men;;;;;;;;;
GÖNCZY, Lajos;HUN;Men;;;;;;;;;
BAXTER, Irving;USA;Men;;;;;;;;;
LEAHY, Patrick Joseph;GBR;Men;;;;;;;;;
SHELDON, Lewis Pendleton;USA;Men;;;;;;;;;
EWRY, Ray;USA;Men;;;;;;;;;
PRINSTEIN, Meyer;USA;Men;;;;;;;;;
TORCHEBOEUF, Emile;FRA;Men;;;;;;;;;
FAST, Ernst;SWE;Men;;;;;;;;;
THEATO, Michel;FRA;Men;;;;;;;;;
CHAMPION, Emile;FRA;Men;;;;;;;;;
ANDERSEN, Carl Albert;NOR;Men;;;;;;;;;
COLKETT, Meredith Bright;USA;Men;;;;;;;;;
De AMEZOLA y ASPIZUA, Jos??;ESP;Men;;;;;;;;;
VILLOTA BAQUIOLA, Francisco;ESP;Men;;;;;;;;;
DURQUETTY, Maurice;FRA;Men;;;;;;;;;
ETCHEGARAY;FRA;Men;;;;;;;;;
BEACHCROFT, Charles;GBR;Men;;;;;;;;;
BIRKETT, Arthur Ernest;GBR;Men;;;;;;;;;
BOWERMAN, Alfred James;GBR;Men;;;;;;;;;
BUCKLEY, George John;GBR;Men;;;;;;;;;
BURCHELL, Francis Romulus;GBR;Men;;;;;;;;;
CHRISTIAN, Frederick William;GBR;Men;;;;;;;;;
CORNER, Harry Richard;GBR;Men;;;;;;;;;
CUMING, Frederick Wlliam;GBR;Men;;;;;;;;;
DONNE, William Stephen;GBR;Men;;;;;;;;;
POWLESLAND, Alfred James;GBR;Men;;;;;;;;;
SYMES, John;GBR;Men;;;;;;;;;
TOLLER, Montagu Henry;GBR;Men;;;;;;;;;
ANDERSON, W.;FRA;Men;;;;;;;;;
ATTRILL, W.T.;FRA;Men;;;;;;;;;
BRAID, J.;FRA;Men;;;;;;;;;
BROWNING, W.;FRA;Men;;;;;;;;;
HORNE, R.;FRA;Men;;;;;;;;;
JORDAN, T.H.;FRA;Men;;;;;;;;;
MCEVOY, A.;FRA;Men;;;;;;;;;
ROBINSON, D.;FRA;Men;;;;;;;;;
ROQUES, F.;FRA;Men;;;;;;;;;
SCHNEIDAU, A.J.;FRA;Men;;;;;;;;;
TERRY, Henry John;FRA;Men;;;;;;;;;
TOMALIN, P.H.;FRA;Men;;;;;;;;;
AUMOITTE;FRA;Men;;;;;;;;;
JOHIN;FRA;Men;;;;;;;;;
WAYDELICH;FRA;Men;;;;;;;;;
SAUTREAU;FRA;Men;;;;;;;;;
VIGNEROT;FRA;Men;;;;;;;;;
DAUMAIN, .....;FRA;Men;;;;;;;;;
BASTIEN, Louis;FRA;Men;;;;;;;;;
HILDEBRAND, Louis;FRA;Men;;;;;;;;;
LAKE, John Henry;USA;Men;;;;;;;;;
TAILLANDIER, Georges;FRA;Men;;;;;;;;;
SANZ, Fernand;FRA;Men;;;;;;;;;
VAN DE POELE, Georges;BEL;Men;;;;;;;;;
GARDERES, Dominique Maximien;FRA;Men;;;;;;;;;
