NOME;PAIS_ORIGEM;GENERO;PREPARADOR FISICO;TECNICO;;;;;;;
QUENIN, Yvan;FRA;Men;;;;;;;;;
ROBUFFIC, Lucien;FRA;Men;;;;;;;;;
THIOLON, Pierre;FRA;Men;;;;;;;;;
HAN, Soo-An;KOR;Men;;;;;;;;;
PEREZ, Pascual Nicolas;ARG;Men;;;;;;;;;
BANDINELLI, Spartaco;ITA;Men;;;;;;;;;
ARTHUR, John;RSA;Men;;;;;;;;;
IGLESIAS, Rafael;ARG;Men;;;;;;;;;
NILSSON, Gunnar;SWE;Men;;;;;;;;;
VENEGAS, Juan E.;PUR;Men;;;;;;;;;
CSIK, Tibor;HUN;Men;;;;;;;;;
ZUDDAS, Gianbattista;ITA;Men;;;;;;;;;
ANTKIEWICZ, Aleksy;POL;Men;;;;;;;;;
FORMENTI, Ernesto;ITA;Men;;;;;;;;;
SHEPHERD, Dennis;RSA;Men;;;;;;;;;
WAD, Svend;DEN;Men;;;;;;;;;
DREYER, Gerald;RSA;Men;;;;;;;;;
VISSERS, Joseph;BEL;Men;;;;;;;;;
D'OTTAVIO, Alessandro;ITA;Men;;;;;;;;;
TORMA, Julius;TCH;Men;;;;;;;;;
HERRING, Horace;USA;Men;;;;;;;;;
FONTANA, Ivano;ITA;Men;;;;;;;;;
PAPP, Laszlo;HUN;Men;;;;;;;;;
WRIGHT, John A.;GBR;Men;;;;;;;;;
CIA, Mauro;ARG;Men;;;;;;;;;
HUNTER, George;RSA;Men;;;;;;;;;
SCOTT, Donald E.;GBR;Men;;;;;;;;;
LANE, Norman Douglas;CAN;Men;;;;;;;;;
CAPEK, Frantisek;TCH;Men;;;;;;;;;
HAVENS, Frank;USA;Men;;;;;;;;;
BOUTIGNY, Robert;FRA;Men;;;;;;;;;
HOLECEK, Josef;TCH;Men;;;;;;;;;
BENNETT, Douglas H.;CAN;Men;;;;;;;;;
DRANSART, Georges;FRA;Men;;;;;;;;;
GANDIL, Georges;FRA;Men;;;;;;;;;
LYSAK, Steven John;USA;Men;;;;;;;;;
MACKNOWSKI, Stephen Albert;USA;Men;;;;;;;;;
HAVEL, Vaclav;TCH;Men;;;;;;;;;
PECKA, Jiri;TCH;Men;;;;;;;;;
KUDRNA, Bohumil;TCH;Men;;;;;;;;;
SKABO, Eivind;NOR;Men;;;;;;;;;
FREDRIKSSON, Gert;SWE;Men;;;;;;;;;
WIRES, Kurt Oskar;FIN;Men;;;;;;;;;
ANDERSEN, Johan Frederik Kobberup;DEN;Men;;;;;;;;;
SCHWINGL, Friederike;AUT;Women;;;;;;;;;
HOFF, Karen;DEN;Women;;;;;;;;;
VAN DER ANKER-DOEDENS, Alida Geertruida;NED;Women;;;;;;;;;
AXELSSON, Thor;FIN;Men;;;;;;;;;
BJÖRKLÖF, Nils;FIN;Men;;;;;;;;;
AKERLUND, Gunnar;SWE;Men;;;;;;;;;
WETTERSTRÖM, Hans;SWE;Men;;;;;;;;;
MATHISEN, Ivar;NOR;Men;;;;;;;;;
OSTBYE, Knut;NOR;Men;;;;;;;;;
BERGLUND, Hans;SWE;Men;;;;;;;;;
KLINGSTRÖM, Lennart;SWE;Men;;;;;;;;;
HANSEN, Ejvind Willy;DEN;Men;;;;;;;;;
JENSEN, Jakob Bernhard Christian;DEN;Men;;;;;;;;;
WOUTERS, Lode Alphonse;BEL;Men;;;;;;;;;
BEYAERT, Jose;FRA;Men;;;;;;;;;
VOORTING, Gerardus Petrus;NED;Men;;;;;;;;;
DUPONT, Jacques;FRA;Men;;;;;;;;;
MOINEAU, Alain;FRA;Men;;;;;;;;;
DELATHOUWER, Leon;BEL;Men;;;;;;;;;
VAN ROSOSBROECK, Eugene;BEL;Men;;;;;;;;;
MAITLAND, Robert John;GBR;Men;;;;;;;;;
SCOTT, Cyril Ian;GBR;Men;;;;;;;;;
THOMAS, Gordon W.;GBR;Men;;;;;;;;;
GODWIN, Thomas Charles;GBR;Men;;;;;;;;;
NIHANT, Pierre;BEL;Men;;;;;;;;;
DRON, Georges;FRA;Men;;;;;;;;;
FAYE, Rene;FRA;Men;;;;;;;;;
PERONA, Renato;ITA;Men;;;;;;;;;
TERRUZZI, Ferdinando;ITA;Men;;;;;;;;;
BANNISTER, Alan;GBR;Men;;;;;;;;;
HARRIS, Reginald Hargreaves;GBR;Men;;;;;;;;;
SCHANDORFF, Axel Carl;DEN;Men;;;;;;;;;
GHELLA, Mario;ITA;Men;;;;;;;;;
GELDARD, Robert Alan;GBR;Men;;;;;;;;;
RICKETTS, David Edward;GBR;Men;;;;;;;;;
WATERS, Wilfrid;GBR;Men;;;;;;;;;
ADAM, Pierre;FRA;Men;;;;;;;;;
BLUSSON, Serge;FRA;Men;;;;;;;;;
COSTE, Charles;FRA;Men;;;;;;;;;
DECANALI, Fernand;FRA;Men;;;;;;;;;
BENFENATI, Arnaldo;ITA;Men;;;;;;;;;
BERNARDI, Guido;ITA;Men;;;;;;;;;
CITTERIO, Anselmo;ITA;Men;;;;;;;;;
PUCCI, Rino;ITA;Men;;;;;;;;;
MOSER, Hans;SUI;Men;;;;;;;;;
PAES, Fernando Silva;POR;Men;;;;;;;;;
VALADAS, Francisco;POR;Men;;;;;;;;;
BURET, Maurice;FRA;Men;;;;;;;;;
SAINT-FORT PAILLARD, Jean Gerard;FRA;Men;;;;;;;;;
BORG, Robert John;USA;Men;;;;;;;;;
HENRY, Frank Sherman;USA;Men;;;;;;;;;
SELFELT, Robert;SWE;Men;;;;;;;;;
CHEVALLIER, Bernard;FRA;Men;;;;;;;;;
CAMPERO, Raul;MEX;Men;;;;;;;;;
MARILES CORTES, Humberto;MEX;Men;;;;;;;;;
SOLANO CHAGOYA, Joaquin;MEX;Men;;;;;;;;;
ANDERSON, Charles Howard;USA;Men;;;;;;;;;
STAHRE, Olof;SWE;Men;;;;;;;;;
SVENSSON, Sigurd;SWE;Men;;;;;;;;;
D'ORGEIX, Jean Francois;FRA;Men;;;;;;;;;
URIZA CASTRO, Ruben;MEX;Men;;;;;;;;;
CARR, Arthur;GBR;Men;;;;;;;;;
LLEWELLYN, Harry Morton;GBR;Men;;;;;;;;;
NICOLL, Henry Morison Vere;GBR;Men;;;;;;;;;
VALDEZ RAMOS, Alberto;MEX;Men;;;;;;;;;
GARCIA CRUZ, Jaime;ESP;Men;;;;;;;;;
GAVILAN Y PONCE DE LEON, Marcelino;ESP;Men;;;;;;;;;
NAVARRO MORENES, Jose;ESP;Men;;;;;;;;;
CANTONE, Luigi;ITA;Men;;;;;;;;;
ZAPPELLI, Oswald;SUI;Men;;;;;;;;;
CARLESON, Per Hjalmar;SWE;Men;;;;;;;;;
CERVELL, Frank;SWE;Men;;;;;;;;;
FORSSELL, Carl;SWE;Men;;;;;;;;;
LJUNGQUIST, Bengt;SWE;Men;;;;;;;;;
TOLLBOM, Arne;SWE;Men;;;;;;;;;
ARTIGAS, Edouard;FRA;Men;;;;;;;;;
DESPRETS, Marcel;FRA;Men;;;;;;;;;
GUERIN, Henri;FRA;Men;;;;;;;;;
HUET, Maurice;FRA;Men;;;;;;;;;
LEPAGE, Henri;FRA;Men;;;;;;;;;
MANDRUZZATO, Marc Antonio;ITA;Men;;;;;;;;;
MANGIAROTTI, Dario;ITA;Men;;;;;;;;;
MARINI, Fiorenzo;ITA;Men;;;;;;;;;
MASZLAY, Lajos;HUN;Men;;;;;;;;;
BUHAN, Jehan;FRA;Men;;;;;;;;;
D'ORIOLA, Christian;FRA;Men;;;;;;;;;
LACHMANN, Karen Vilhelmine;DEN;Women;;;;;;;;;
BRU, Raymond;BEL;Men;;;;;;;;;
DE BOURGIGNON, Georges Camille;BEL;Men;;;;;;;;;
PATERNOSTER, Henri;BEL;Men;;;;;;;;;
VALCKE, Paul Louis Jean;BEL;Men;;;;;;;;;
VAN DE WERWE DE VORSSELAERE, Andre;BEL;Men;;;;;;;;;
YVES, Edouard;BEL;Men;;;;;;;;;
BONIN, Andre;FRA;Men;;;;;;;;;
LATASTE, Jacques;FRA;Men;;;;;;;;;
ROMMEL, Adrien;FRA;Men;;;;;;;;;
NOSTINI, Giuliano;ITA;Men;;;;;;;;;
NOSTINI, Renzo;ITA;Men;;;;;;;;;
PELLINI, Giorgio;ITA;Men;;;;;;;;;
CETRULO, Dean Victor;USA;Men;;;;;;;;;
COHN-ARMITAGE, Norman;USA;Men;;;;;;;;;
FLYNN, James Hummitzsch;USA;Men;;;;;;;;;
NYILAS, Tibor Andrew;USA;Men;;;;;;;;;
WORTH, George Vitez;USA;Men;;;;;;;;;
KARPATI, Rudolf;HUN;Men;;;;;;;;;
PAPP, Bertalan;HUN;Men;;;;;;;;;
DARE, Gastone;ITA;Men;;;;;;;;;
RACCA, Mauro;ITA;Men;;;;;;;;;
TURCATO, Carlo;ITA;Men;;;;;;;;;
HANSEN, Jens Peter;DEN;Men;;;;;;;;;
HANSEN, John Angelo Valdemar Oster.;DEN;Men;;;;;;;;;
HANSEN, Karl Aage;DEN;Men;;;;;;;;;
JENSEN, Hans Viggo;DEN;Men;;;;;;;;;
JENSEN, Tage Ivan Linde;DEN;Men;;;;;;;;;
LUNDBERG, Knud;DEN;Men;;;;;;;;;
NIELSEN, Eigil Louis Marinus Ferdinand;DEN;Men;;;;;;;;;
ORNVOLD, Dion Erhardt;DEN;Men;;;;;;;;;
OVERGAARD, Knud Borge;DEN;Men;;;;;;;;;
PILMARK, Axel Peter;DEN;Men;;;;;;;;;
PLOGER, Johannes Theodor Louis;DEN;Men;;;;;;;;;
PRAEST, Carl Aage Andersen;DEN;Men;;;;;;;;;
SEEBACH, Holger;DEN;Men;;;;;;;;;
SÖRENSEN, Jörgen Leschly;DEN;Men;;;;;;;;;
ANDERSSON, Sune;SWE;Men;;;;;;;;;
CARLSSON, Henry;SWE;Men;;;;;;;;;
GREN, Gunnar;SWE;Men;;;;;;;;;
LEANDER, Barje;SWE;Men;;;;;;;;;
LIEDHOLM, Nils;SWE;Men;;;;;;;;;
LINDBERG, Torsten;SWE;Men;;;;;;;;;
NILSSON, Erik;SWE;Men;;;;;;;;;
NORDAHL, Bertil;SWE;Men;;;;;;;;;
NORDAHL, Gunnar;SWE;Men;;;;;;;;;
NORDAHL, Knut;SWE;Men;;;;;;;;;
ROSEN, Kjell;SWE;Men;;;;;;;;;
ROSENGREN, Birger;SWE;Men;;;;;;;;;
ATANASKOVIC, Aleksandar;YUG;Men;;;;;;;;;
BOBEK, Stjepan;YUG;Men;;;;;;;;;
BROZOVIC, Miroslav;YUG;Men;;;;;;;;;
CAJKOVSKI, Zeljko;YUG;Men;;;;;;;;;
CAJKOVSKI, Zlatko;YUG;Men;;;;;;;;;
CIMERMANCIC, Zvonko;YUG;Men;;;;;;;;;
JOVANOVIC, Miodrag;YUG;Men;;;;;;;;;
LOVRIC, Ljubomir;YUG;Men;;;;;;;;;
MIHAJLOVIC, Prvoslav;YUG;Men;;;;;;;;;
MITIC, Rajko;YUG;Men;;;;;;;;;
SOSTARIC, Franjo;YUG;Men;;;;;;;;;
STANKOVIC, Branislav;YUG;Men;;;;;;;;;
TOMASEVIC, Kosta;YUG;Men;;;;;;;;;
VUKAS, Bernard;YUG;Men;;;;;;;;;
WÖLFL, Franjo;YUG;Men;;;;;;;;;
RUZICKA, Zdenek;TCH;Men;;;;;;;;;
PATAKI, Ferenc;HUN;Men;;;;;;;;;
MOGYOROSI-KLENCS, Janos;HUN;Men;;;;;;;;;
HUHTANEN, Veikko;FIN;Men;;;;;;;;;
STALDER, Josef;SUI;Men;;;;;;;;;
LEHMANN, Walter;SUI;Men;;;;;;;;;
AALTONEN, Paavo Johannes;FIN;Men;;;;;;;;;
KIPFER, Christian;SUI;Men;;;;;;;;;
FREI, Karl;SUI;Men;;;;;;;;;
BARANYAI, Laszlo;HUN;Men;;;;;;;;;
FEKETE, Jozsef;HUN;Men;;;;;;;;;
MOGYOROSI, Gy??z??;HUN;Men;;;;;;;;;
SANTHA, Lajos;HUN;Men;;;;;;;;;
TOTH, Lajos;HUN;Men;;;;;;;;;
VARKOI, Ferenc;HUN;Men;;;;;;;;;
LAITINEN, Kalevi Johannes;FIN;Men;;;;;;;;;
ROVE, Olavi Antero;FIN;Men;;;;;;;;;
SALMI, Sulo Artur;FIN;Men;;;;;;;;;
LUCY, Robert;SUI;Men;;;;;;;;;
STUDER, Emil;SUI;Men;;;;;;;;;
THALMANN, Melchior;SUI;Men;;;;;;;;;
BAKANIC, Ladislava Aloisie;USA;Women;;;;;;;;;
BARONE, Marian Emma Twining;USA;Women;;;;;;;;;
CARRUCCIO-LENZ, Consetta Anne;USA;Women;;;;;;;;;
DALTON, Dorothy Catherine;USA;Women;;;;;;;;;
ELSTE-NEUMANN, Meta;USA;Women;;;;;;;;;
SCHIFANO, Helen Mary;USA;Women;;;;;;;;;
SCHROTH-LOMADY, Clara Marie;USA;Women;;;;;;;;;
SIMONIS, Anita Aline;USA;Women;;;;;;;;;
HONSOVA, Zdenka;TCH;Women;;;;;;;;;
KOVAROVA, Marie;TCH;Women;;;;;;;;;
MISAKOVA, Miloslava;TCH;Women;;;;;;;;;
MÜLLEROVA, Milena;TCH;Women;;;;;;;;;
RUZICKOVA, Vera;TCH;Women;;;;;;;;;
SILHANOVA, Olga;TCH;Women;;;;;;;;;
SRNCOVA, Bozena;TCH;Women;;;;;;;;;
FEHER, Anna;HUN;Women;;;;;;;;;
GULYAS-KÖTELES, Erzsebet;HUN;Women;;;;;;;;;
KARSICS-DARUHAZI, Iren;HUN;Women;;;;;;;;;
KÖVI-ZALAI, Maria;HUN;Women;;;;;;;;;
SARKANY-BALASZ, Erzebet;HUN;Women;;;;;;;;;
TASS LEMHENYI, Olga;HUN;Women;;;;;;;;;
VASARHELYI (WECKINGER), Edit;HUN;Women;;;;;;;;;
SOTORNIK, Leo;TCH;Men;;;;;;;;;
BOERSTRA, Andries Cornelis Dirk;NED;Men;;;;;;;;;
BOUWMAN, Hendricus Nicolaas;NED;Men;;;;;;;;;
BROMBERG, Pieter Marie Johan;NED;Men;;;;;;;;;
DERCKX, Henri Jean Joseph;NED;Men;;;;;;;;;
DRIJVER, Johan Frederik;NED;Men;;;;;;;;;
ESSER, Rius Theo;NED;Men;;;;;;;;;
KRUIZE, Jan Hendrik;NED;Men;;;;;;;;;
LANGHOUT, Jenne;NED;Men;;;;;;;;;
LOGGERE, Hermanus Pieter;NED;Men;;;;;;;;;
RICHTER, Antonius Maria;NED;Men;;;;;;;;;
TIEL, Edouard Herbert;NED;Men;;;;;;;;;
VAN HEEL, Willem;NED;Men;;;;;;;;;
AHKTAR, Hussain;IND;Men;;;;;;;;;
CLAUDIUS, Leslie Walter;IND;Men;;;;;;;;;
DATT, Keshava;IND;Men;;;;;;;;;
D'SOUZA, Walter;IND;Men;;;;;;;;;
FERNANDES, Lawrence;IND;Men;;;;;;;;;
FRANCIS, Ranganandhan;IND;Men;;;;;;;;;
GLACKEN, Gerald;IND;Men;;;;;;;;;
JANSEN, Patrick;IND;Men;;;;;;;;;
KUMAR, Amir Chand;IND;Men;;;;;;;;;
LAL, Kishan;IND;Men;;;;;;;;;
LATIF, Ur Rehman;IND;Men;;;;;;;;;
PINTO, Leo;IND;Men;;;;;;;;;
RAJPUT, Jaswant;IND;Men;;;;;;;;;
RODRIGUES, Reginald;IND;Men;;;;;;;;;
SINGH DOSANJH, Balbir;IND;Men;;;;;;;;;
SINGH GENTLE, Randhir;IND;Men;;;;;;;;;
SINGH, Grahanandan Nandy;IND;Men;;;;;;;;;
SINGH, Kunwar Digvijai;IND;Men;;;;;;;;;
SINGH, Trilochan;IND;Men;;;;;;;;;
VAZ, Max;IND;Men;;;;;;;;;
ADLARD, Robert Edward;GBR;Men;;;;;;;;;
BORRETT, Norman Francis;GBR;Men;;;;;;;;;
BRODIE, David L.S.;GBR;Men;;;;;;;;;
DAVIS, Ronald;GBR;Men;;;;;;;;;
GRIFFITHS, William Salterlee;GBR;Men;;;;;;;;;
LINDSAY, Frederick Robin;GBR;Men;;;;;;;;;
LINDSAY, William L.C.;GBR;Men;;;;;;;;;
PEAKE, John Morris;GBR;Men;;;;;;;;;
REYNOLDS, Frank O.;GBR;Men;;;;;;;;;
SIME, George B.;GBR;Men;;;;;;;;;
WALFORD, Michael Moore;GBR;Men;;;;;;;;;
WHITE, William Neil;GBR;Men;;;;;;;;;
GÄRDIN, Gösta;SWE;Men;;;;;;;;;
GRUT, William;SWE;Men;;;;;;;;;
MOORE, George Bissland;USA;Men;;;;;;;;;
BONI, Bruno;ITA;Men;;;;;;;;;
FANETTI, Felice;ITA;Men;;;;;;;;;
LAURIE, William;GBR;Men;;;;;;;;;
WILSON, John;GBR;Men;;;;;;;;;
KALT, Hans;SUI;Men;;;;;;;;;
KALT, Josef;SUI;Men;;;;;;;;;
JONES, William;URU;Men;;;;;;;;;
RODRIGUEZ, Juan A.;URU;Men;;;;;;;;;
BURNELL, Richard Desborough;GBR;Men;;;;;;;;;
BUSHNELL, Bertram Herbert Th.;GBR;Men;;;;;;;;;
LARSEN, Aage Ernst;DEN;Men;;;;;;;;;
PARSNER, Ebbe Vestermann;DEN;Men;;;;;;;;;
GRAN OLSEN/GRANGARD, Halfdan;NOR;Men;;;;;;;;;
HANSEN, Hans Egil;NOR;Men;;;;;;;;;
KRAAKENES, Harald;NOR;Men;;;;;;;;;
KRAAKENES, Thorstein;NOR;Men;;;;;;;;;
LEPSOË, Kristoffer;NOR;Men;;;;;;;;;
MONSSEN, Carl Henrik;NOR;Men;;;;;;;;;
MONSSEN, Sigurd;NOR;Men;;;;;;;;;
NAESS, Leif;NOR;Men;;;;;;;;;
PEDERSEN, Thor;NOR;Men;;;;;;;;;
AHLGREN, George Lewis;USA;Men;;;;;;;;;
BROWN, David Preston;USA;Men;;;;;;;;;
BUTLER, Lloyd Lemarr;USA;Men;;;;;;;;;
HARDY, James Herbert;USA;Men;;;;;;;;;
PURCHASE, Ralph Kenneth;USA;Men;;;;;;;;;
SMITH, Justus Ketcham;USA;Men;;;;;;;;;
STACK, John Charles;USA;Men;;;;;;;;;
TURNER, David Lindsay;USA;Men;;;;;;;;;
TURNER, Ian Gordon;USA;Men;;;;;;;;;
BARTON, Christopher Bertram;GBR;Men;;;;;;;;;
BIRCHER, Ernest Augustus Paul;GBR;Men;;;;;;;;;
DEARLOVE, Jack G.;GBR;Men;;;;;;;;;
LAPAGE, Michael Clement;GBR;Men;;;;;;;;;
LLOYD, Charles Brian Murray;GBR;Men;;;;;;;;;
MASSEY, Paul Mackintosh O.;GBR;Men;;;;;;;;;
MELLOWS, Alfred Paul;GBR;Men;;;;;;;;;
MEYRICK, David John Charlton;GBR;Men;;;;;;;;;
RICHARDSON, Guy Colquhoun;GBR;Men;;;;;;;;;
GATES, Gregory Crozier;USA;Men;;;;;;;;;
GRIFFING, Stuart Lane;USA;Men;;;;;;;;;
KINGSBURY, Frederick John Iv;USA;Men;;;;;;;;;
PEREW, Roben Strahan;USA;Men;;;;;;;;;
FAGGI, Francesco;ITA;Men;;;;;;;;;
INVERNIZZI, Giovanni;ITA;Men;;;;;;;;;
MOIOLI, Giuseppe;ITA;Men;;;;;;;;;
MORILLE, Elio;ITA;Men;;;;;;;;;
HALKJAER, Helge;DEN;Men;;;;;;;;;
HANSEN, Aksel Bonde;DEN;Men;;;;;;;;;
LARSEN, Ib Storm;DEN;Men;;;;;;;;;
SCHRÖDER, Helge Muxoll;DEN;Men;;;;;;;;;
KNUDSEN, Harry Madsen;DEN;Men;;;;;;;;;
LARSEN, Erik Christian;DEN;Men;;;;;;;;;
LARSEN, Henry Christian;DEN;Men;;;;;;;;;
NIELSEN, B??rge Daniel Raahauge;DEN;Men;;;;;;;;;
OLSEN, J??rgen Ib;DEN;Men;;;;;;;;;
GIOVANELLI, Gordon Stephen;USA;Men;;;;;;;;;
MARTIN, Robert Doud;USA;Men;;;;;;;;;
MORGAN, Allan Jerome;USA;Men;;;;;;;;;
WESTLUND, Warren Dehaven;USA;Men;;;;;;;;;
WILL, Robert Ide;USA;Men;;;;;;;;;
KNECHT, Emile A.;SUI;Men;;;;;;;;;
MOCCAND, Andre;SUI;Men;;;;;;;;;
REICHLING, Rudolf;SUI;Men;;;;;;;;;
SCHRIEVER, Erich;SUI;Men;;;;;;;;;
STEBLER, Pierre Armand;SUI;Men;;;;;;;;;
SZENDEY, Antal;HUN;Men;;;;;;;;;
ZIMONYI, Robert;HUN;Men;;;;;;;;;
ZSITNIK SR., Bela;HUN;Men;;;;;;;;;
ANDERSEN, Carl-Ebbe;DEN;Men;;;;;;;;;
HENRIKSEN, Tage;DEN;Men;;;;;;;;;
PEDERSEN, Finn;DEN;Men;;;;;;;;;
RADI, Alberto;ITA;Men;;;;;;;;;
STEFFE, Giovanni;ITA;Men;;;;;;;;;
TARLAO, Aldo;ITA;Men;;;;;;;;;
CATASTA, Romolo;ITA;Men;;;;;;;;;
WOOD, Merwyn Thomas;AUS;Men;;;;;;;;;
RISSO, Eduardo G.;URU;Men;;;;;;;;;
AMELN, Carl-Robert;SWE;Men;;;;;;;;;
SALEN, G??sta;SWE;Men;;;;;;;;;
LOOMIS, Alfred Lee Jr.;USA;Men;;;;;;;;;
MOONEY, Michael Macdonald;USA;Men;;;;;;;;;
SMITH, James Hopkins Jr.;USA;Men;;;;;;;;;
WEEKES, James Higgonson;USA;Men;;;;;;;;;
WHITON, Herman Frasch;USA;Men;;;;;;;;;
HOMP, Emilio C.;ARG;Men;;;;;;;;;
RIVADEMAR, Rodolfo;ARG;Men;;;;;;;;;
RODRIGUEZ DE LA TORRE, Rufino;ARG;Men;;;;;;;;;
SIEBURGER JR., Enrique Conrado;ARG;Men;;;;;;;;;
SIEBURGER SR., Enrique Conrado;ARG;Men;;;;;;;;;
SIEBURGER, Julio Christian;ARG;Men;;;;;;;;;
BAESS, Klaus Baard;DEN;Men;;;;;;;;;
BERNTSEN, Ole Valdemar Henrik;DEN;Men;;;;;;;;;
BERNTSEN, William Eldred;DEN;Men;;;;;;;;;
BARFOD, Haakon;NOR;Men;;;;;;;;;
LIE, Sigve;NOR;Men;;;;;;;;;
THORVALDSEN, Thor;NOR;Men;;;;;;;;;
BOHLIN, Folke;SWE;Men;;;;;;;;;
BRODIN, G??sta;SWE;Men;;;;;;;;;
JOHNSON, Hugo;SWE;Men;;;;;;;;;
DE JONG, Jacobus Hermanus Hendrik;NED;Men;;;;;;;;;
ELVSTROM, Paul;DEN;Men;;;;;;;;;
EVANS, Ralph Liggett Jr.;USA;Men;;;;;;;;;
PIRIE, Lockwood Masters;USA;Men;;;;;;;;;
TORREY, Owen Cates Jr.;USA;Men;;;;;;;;;
BOND, David John Were;GBR;Men;;;;;;;;;
MORRIS, Stewart Harold;GBR;Men;;;;;;;;;
BELLO, Duarte M.D'Almeida;POR;Men;;;;;;;;;
BELLO, Fernando Pinto Coelho;POR;Men;;;;;;;;;
STUTTERHEIM, Edward;NED;Men;;;;;;;;;
SMART, Hilary Hurlburt;USA;Men;;;;;;;;;
SMART, Paul Hurlburt;USA;Men;;;;;;;;;
DE CARDENAS CULMELL, Carlos;CUB;Men;;;;;;;;;
DE CARDENAS PLA, Carlos;CUB;Men;;;;;;;;;
LUNDQUIST, Sven;SWE;Men;;;;;;;;;
TAKACS, Karoly;HUN;Men;;;;;;;;;
DIAZ SAENZ VALIENTE, Carlos Enrique;ARG;Men;;;;;;;;;
GRÜNIG, Emil;SUI;Men;;;;;;;;;
JANHONEN, Pauli Aapeli;FIN;Men;;;;;;;;;
VASQUEZ CAM, Edwin;PER;Men;;;;;;;;;
SCHNYDER, Rudolf;SUI;Men;;;;;;;;;
JONSSON, Jonas;SWE;Men;;;;;;;;;
COOK, Arthur Edwin;USA;Men;;;;;;;;;
TOMSEN, Walter;USA;Men;;;;;;;;;
TOM, Richard Watt Sung;USA;Men;;;;;;;;;
DE PIETRO, Joseph Nicholas;USA;Men;;;;;;;;;
CREUS, Julian;GBR;Men;;;;;;;;;
CHARITE, Abraham;NED;Men;;;;;;;;;
DAVIS, John Henry Jr.;USA;Men;;;;;;;;;
SCHEMANSKY, Norbert;USA;Men;;;;;;;;;
SALMASSI, Jafar Mohammad;IRI;Men;;;;;;;;;
FAYAD, Mahmoud;EGY;Men;;;;;;;;;
WILKES, Rodney Adolphus;TRI;Men;;;;;;;;;
HALLIDAY, James;GBR;Men;;;;;;;;;
HAMOUDA, Attia Mohamed;EGY;Men;;;;;;;;;
KIM, Sung-Jip;KOR;Men;;;;;;;;;
SPELLMAN, Frank Isaac;USA;Men;;;;;;;;;
GEORGE, Peter T.;USA;Men;;;;;;;;;
MAGNUSSON, G??sta;SWE;Men;;;;;;;;;
STANCZYK, Stanley Anthony;USA;Men;;;;;;;;;
SAKATA, Harold Toshiyuki;USA;Men;;;;;;;;;
JOHANSSON, Thure;SWE;Men;;;;;;;;;
VIITALA, Lenni;FIN;Men;;;;;;;;;
BALAMIR, Halit;TUR;Men;;;;;;;;;
ARMSTRONG, Joseph;AUS;Men;;;;;;;;;
BOBIS, Gyula;HUN;Men;;;;;;;;;
ANTONSSON, Bertil;SWE;Men;;;;;;;;;
KOUYOS, Charles;FRA;Men;;;;;;;;;
AKAR, Nazuh;TUR;Men;;;;;;;;;
LEEMAN, Gerald Grant;USA;Men;;;;;;;;;
MÜLLER, Adolf;SUI;Men;;;;;;;;;
BILGE, Gazanfer;TUR;Men;;;;;;;;;
SJÖLIN, Ivar;SWE;Men;;;;;;;;;
BAUMANN, Hermann;SUI;Men;;;;;;;;;
ATIK, Celal;TUR;Men;;;;;;;;;
MERRILL, Leland Gilbert Jr.;USA;Men;;;;;;;;;
DOGU, Yasar;TUR;Men;;;;;;;;;
GARRARD, Richard Edward;AUS;Men;;;;;;;;;
LINDEN, Erik;SWE;Men;;;;;;;;;
BRAND, Glen;USA;Men;;;;;;;;;
CANDEMIR, Adil;TUR;Men;;;;;;;;;
FAHLKVIST, Bengt;SWE;Men;;;;;;;;;
WITTENBERG, Henry;USA;Men;;;;;;;;;
STÖCKLI, Fritz;SUI;Men;;;;;;;;;
KANGASMÄKI, Reino;FIN;Men;;;;;;;;;
LOMBARDI, Pietro;ITA;Men;;;;;;;;;
OLCAY, Kenan;TUR;Men;;;;;;;;;
FANTONI, Guido;ITA;Men;;;;;;;;;
NILSSON, Tor;SWE;Men;;;;;;;;;
KAYA, Halil;TUR;Men;;;;;;;;;
PETERSEN, Kurt;SWE;Men;;;;;;;;;
HASSAN ALI, Mahmoud;EGY;Men;;;;;;;;;
TOTH, Ferenc;HUN;Men;;;;;;;;;
OKTAV, Mehmet;TUR;Men;;;;;;;;;
ANDERBERG, Olle;SWE;Men;;;;;;;;;
FERENCZ, Karoly;HUN;Men;;;;;;;;;
FREIJ, Gustav;SWE;Men;;;;;;;;;
ERIKSEN, Aage Ingvar;NOR;Men;;;;;;;;;
HANSEN, Christian Henrik;DEN;Men;;;;;;;;;
ANDERSSON, G??sta;SWE;Men;;;;;;;;;
SZILVASI, Miklos;HUN;Men;;;;;;;;;
GRÖNBERG, Axel;SWE;Men;;;;;;;;;
TAYFUR, Muhlis;TUR;Men;;;;;;;;;
ORABI, Ibrahim;EGY;Men;;;;;;;;;
NILSSON, Karl-Erik;SWE;Men;;;;;;;;;
GRÖNDAHL, Kelpo Olavi;FIN;Men;;;;;;;;;
HAASE, G??nther;GER;Men;;;;;;;;;
STOVER-IRWIN, Juno Roslays;USA;Women;;;;;;;;;
MCCORMICK, Patricia;USA;Women;;;;;;;;;
MYERS-POPE, Paula Jean;USA;Women;;;;;;;;;
CLOTWORTHY, Robert Lynn;USA;Men;;;;;;;;;
BROWNING, David Grieg Jr.;USA;Men;;;;;;;;;
MOREAU, Madeleine;FRA;Women;;;;;;;;;
