NOMEATLETA;NOMEESPORTE;MODALIDADE;MEDALHA
HAJOS, Alfred;Swimming;100M Freestyle;Gold
HERSCHMANN, Otto;Swimming;100M Freestyle;Silver
DRIVAS, Dimitrios;Swimming;100M Freestyle For Sailors;Bronze
MALOKINIS, Ioannis;Swimming;100M Freestyle For Sailors;Gold
CHASAPIS, Spiridon;Swimming;100M Freestyle For Sailors;Silver
CHOROPHAS, Efstathios;Swimming;1200M Freestyle;Bronze
HAJOS, Alfred;Swimming;1200M Freestyle;Gold
ANDREOU, Joannis;Swimming;1200M Freestyle;Silver
CHOROPHAS, Efstathios;Swimming;400M Freestyle;Bronze
NEUMANN, Paul;Swimming;400M Freestyle;Gold
PEPANOS, Antonios;Swimming;400M Freestyle;Silver
LANE, Francis;Athletics;100M;Bronze
SZOKOLYI, Alajos;Athletics;100M;Bronze
BURKE, Thomas;Athletics;100M;Gold
HOFMANN, Fritz;Athletics;100M;Silver
CURTIS, Thomas;Athletics;110M Hurdles;Gold
GOULDING, Grantley;Athletics;110M Hurdles;Silver
LERMUSIAUX, Albin;Athletics;1500M;Bronze
FLACK, Edwin;Athletics;1500M;Gold
BLAKE, Arthur;Athletics;1500M;Silver
GMELIN, Charles;Athletics;400M;Bronze
BURKE, Thomas;Athletics;400M;Gold
JAMISON, Herbert;Athletics;400M;Silver
GOLEMIS, Dimitrios;Athletics;800M;Bronze
FLACK, Edwin;Athletics;800M;Gold
DANI, Nandor;Athletics;800M;Silver
VERSIS, Sotirios;Athletics;Discus Throw;Bronze
GARRETT, Robert;Athletics;Discus Throw;Gold
PARASKEVOPOULOS, Panagiotis;Athletics;Discus Throw;Silver
CLARK, Ellery;Athletics;High Jump;Gold
CONNOLLY, James;Athletics;High Jump;Silver
GARRETT, Robert;Athletics;High Jump;Silver
CONNOLLY, James;Athletics;Long Jump;Bronze
CLARK, Ellery;Athletics;Long Jump;Gold
GARRETT, Robert;Athletics;Long Jump;Silver
KELLNER, Gyula;Athletics;Marathon;Bronze
LOUIS, Spyridon;Athletics;Marathon;Gold
VASILAKOS, Kharilaos;Athletics;Marathon;Silver
DAMASKOS, Evangelos;Athletics;Pole Vault;Bronze
THEODOROPOULOS, Ioannis;Athletics;Pole Vault;Bronze
HOYT, William Welles;Athletics;Pole Vault;Gold
TYLER, Albert;Athletics;Pole Vault;Silver
PAPASIDERIS, Georgios;Athletics;Shot Put;Bronze
GARRETT, Robert;Athletics;Shot Put;Gold
GOUSKOS, Miltiadis;Athletics;Shot Put;Silver
PERSAKIS, Ioannis;Athletics;Triple Jump;Bronze
CONNOLLY, James;Athletics;Triple Jump;Gold
TUFFERI, Alexandre;Athletics;Triple Jump;Silver
BATTEL, Edward;Cycling Road;Individual Road Race;Bronze
KONSTANTINIDIS, Aristidis;Cycling Road;Individual Road Race;Gold
GOEDRICH, August;Cycling Road;Individual Road Race;Silver
FLAMENG, L??on;Cycling Track;100KM;Gold
KOLETTIS, Georgios;Cycling Track;100KM;Silver
SCHMAL, Adolf;Cycling Track;10KM;Bronze
MASSON, Paul;Cycling Track;10KM;Gold
FLAMENG, L??on;Cycling Track;10KM;Silver
SCHMAL, Adolf;Cycling Track;12-Hour Race;Gold
KEEPING, Frank;Cycling Track;12-Hour Race;Silver
SCHMAL, Adolf;Cycling Track;1KM Time Trial;Bronze
MASSON, Paul;Cycling Track;1KM Time Trial;Gold
NIKOLOPOULOS, Stamatios;Cycling Track;1KM Time Trial;Silver
FLAMENG, L??on;Cycling Track;Sprint Indivual;Bronze
MASSON, Paul;Cycling Track;Sprint Indivual;Gold
NIKOLOPOULOS, Stamatios;Cycling Track;Sprint Indivual;Silver
PIERRAKOS-MAVROMICHALIS, Perikles;Fencing;Foil Individual;Bronze
GRAVELOTTE, Eug??ne-Henri;Fencing;Foil Individual;Gold
CALLOT, Henri;Fencing;Foil Individual;Silver
PYRGOS, Leonidas;Fencing;Foil, Masters;Gold
PERRONNET, Maurice;Fencing;Foil, Masters;Silver
NIELSEN, Holger;Fencing;Sabre Individual;Bronze
GEORGIADIS, Ioannis;Fencing;Sabre Individual;Gold
KARAKALOS, Telemachos;Fencing;Sabre Individual;Silver
WEING�RTNER, Hermann;Artistic G.;Horizontal Bar;Gold
FLATOW, Alfred;Artistic G.;Horizontal Bar;Silver
FLATOW, Alfred;Artistic G.;Parallel Bars;Gold
ZUTTER, Louis;Artistic G.;Parallel Bars;Silver
ZUTTER, Louis;Artistic G.;Pommel Horse;Gold
WEING�RTNER, Hermann;Artistic G.;Pommel Horse;Silver
PERSAKIS, Petros;Artistic G.;Rings;Bronze
MITROPOULOS, Ioannis;Artistic G.;Rings;Gold
WEING�RTNER, Hermann;Artistic G.;Rings;Silver
HOFMANN, Fritz;Artistic G.;Rope Climbing;Bronze
ANDRIAKOPOULOS, Nicolaos;Artistic G.;Rope Climbing;Gold
XENAKIS, Thomasios;Artistic G.;Rope Climbing;Silver
BÖCKER, Konrad;Artistic G.;Team, Horizontal Bar;Gold
FLATOW, Alfred;Artistic G.;Team, Horizontal Bar;Gold
FLATOW, Gustav Felix;Artistic G.;Team, Horizontal Bar;Gold
HILMAR, Georg;Artistic G.;Team, Horizontal Bar;Gold
HOFMANN, Fritz;Artistic G.;Team, Horizontal Bar;Gold
MANTEUFFEL, Fritz;Artistic G.;Team, Horizontal Bar;Gold
NEUKIRCH, Karl;Artistic G.;Team, Horizontal Bar;Gold
RÖSTEL, Richard;Artistic G.;Team, Horizontal Bar;Gold
SCHUFT, Gustav;Artistic G.;Team, Horizontal Bar;Gold
SCHUMANN, Carl;Artistic G.;Team, Horizontal Bar;Gold
WEING�RTNER, Hermann;Artistic G.;Team, Horizontal Bar;Gold
CHRYSAPHIS, Ioannis;Artistic G.;Team, Parallel Bars;Bronze
KARVELAS, Phillippos;Artistic G.;Team, Parallel Bars;Bronze
LOUNDRAS, Dimitrios;Artistic G.;Team, Parallel Bars;Bronze
MITROPOULOS, Ioannis;Artistic G.;Team, Parallel Bars;Bronze
BÖCKER, Konrad;Artistic G.;Team, Parallel Bars;Gold
FLATOW, Alfred;Artistic G.;Team, Parallel Bars;Gold
FLATOW, Gustav Felix;Artistic G.;Team, Parallel Bars;Gold
HILMAR, Georg;Artistic G.;Team, Parallel Bars;Gold
HOFMANN, Fritz;Artistic G.;Team, Parallel Bars;Gold
MANTEUFFEL, Fritz;Artistic G.;Team, Parallel Bars;Gold
NEUKIRCH, Karl;Artistic G.;Team, Parallel Bars;Gold
RÖSTEL, Richard;Artistic G.;Team, Parallel Bars;Gold
SCHUFT, Gustav;Artistic G.;Team, Parallel Bars;Gold
SCHUMANN, Carl;Artistic G.;Team, Parallel Bars;Gold
WEING�RTNER, Hermann;Artistic G.;Team, Parallel Bars;Gold
ANDRIAKOPOULOS, Nicolaos;Artistic G.;Team, Parallel Bars;Silver
ATHANASOPOULOS, Spyros;Artistic G.;Team, Parallel Bars;Silver
PERSAKIS, Petros;Artistic G.;Team, Parallel Bars;Silver
XENAKIS, Thomasios;Artistic G.;Team, Parallel Bars;Silver
WEING�RTNER, Hermann;Artistic G.;Vault;Bronze
SCHUMANN, Carl;Artistic G.;Vault;Gold
ZUTTER, Louis;Artistic G.;Vault;Silver
MORAKIS, Nikolaos;Shooting;25M Army Pistol;Bronze
PAINE, John;Shooting;25M Army Pistol;Gold
PAINE, Sumner;Shooting;25M Army Pistol;Silver
NIELSEN, Holger;Shooting;25M Rapid Fire Pistol (60 Shots);Bronze
PHRANGOUDIS, Joannis;Shooting;25M Rapid Fire Pistol (60 Shots);Gold
ORPHANIDIS, Georgios;Shooting;25M Rapid Fire Pistol (60 Shots);Silver
PHRANGOUDIS, Joannis;Shooting;50M Pistol (60 Shots);Bronze
PAINE, Sumner;Shooting;50M Pistol (60 Shots);Gold
NIELSEN, Holger;Shooting;50M Pistol (60 Shots);Silver
TRIKUPIS, Nicolaos;Shooting;Army Rifle, 200M;Bronze
KARASEVDAS, Pantelis;Shooting;Army Rifle, 200M;Gold
PAVLIDIS, Pavlos;Shooting;Army Rifle, 200M;Silver
JENSEN, Viggo;Shooting;Army Rifle, 300M;Bronze
ORPHANIDIS, Georgios;Shooting;Army Rifle, 300M;Gold
PHRANGOUDIS, Joannis;Shooting;Army Rifle, 300M;Silver
FLACK, Edwin;Tennis;Doubles;Bronze
ROBERTSON, George Stuart;Tennis;Doubles;Bronze
BOLAND, John;Tennis;Doubles;Gold
TRAUN, Friedrich;Tennis;Doubles;Gold
KASDAGLIS, Dionysios;Tennis;Doubles;Silver
PETROKOKKINOS, Demetrios;Tennis;Doubles;Silver
PASPATIS, Konstantinos;Tennis;Singles;Bronze
TAPAVICZA, Momcsillo;Tennis;Singles;Bronze
BOLAND, John;Tennis;Singles;Gold
KASDAGLIS, Dionysios;Tennis;Singles;Silver
NIKOLOPOULOS, Alexandros;Weightlifting;Heavyweight - One Hand Lift;Bronze
ELLIOTT, Launceston;Weightlifting;Heavyweight - One Hand Lift;Gold
JENSEN, Viggo;Weightlifting;Heavyweight - One Hand Lift;Silver
VERSIS, Sotirios;Weightlifting;Heavyweight - Two Hand Lift;Bronze
JENSEN, Viggo;Weightlifting;Heavyweight - Two Hand Lift;Gold
ELLIOTT, Launceston;Weightlifting;Heavyweight - Two Hand Lift;Silver
CHRISTOPOULOS, Stephanos;Wrestling Gre-R;Open Event;Bronze
SCHUMANN, Carl;Wrestling Gre-R;Open Event;Gold
TSITAS, Georgios;Wrestling Gre-R;Open Event;Silver
HALMAY, Zoltan;Swimming;1500M Freestyle;Bronze
JARVIS, John Arthur;Swimming;1500M Freestyle;Gold
WAHLE, Otto;Swimming;1500M Freestyle;Silver
DROST, Johannes;Swimming;200M Backstroke;Bronze
HOPPENBERG, Ernst;Swimming;200M Backstroke;Gold
RUBERL, Karl;Swimming;200M Backstroke;Silver
RUBERL, Karl;Swimming;200M Freestyle;Bronze
LANE, Frederick C.V.;Swimming;200M Freestyle;Gold
HALMAY, Zoltan;Swimming;200M Freestyle;Silver
KEMP, Peter;Swimming;200M Obstacle Event;Bronze
LANE, Frederick C.V.;Swimming;200M Obstacle Event;Gold
WAHLE, Otto;Swimming;200M Obstacle Event;Silver
HOUBEN;Swimming;200M Team Swimming;Bronze
LEUILLIEUX, Jean;Swimming;200M Team Swimming;Bronze
MARTIN, Louis;Swimming;200M Team Swimming;Bronze
MERCHEZ, D??sir??;Swimming;200M Team Swimming;Bronze
TARTARA;Swimming;200M Team Swimming;Bronze
FREY, Julius;Swimming;200M Team Swimming;Gold
HAINLE, Max;Swimming;200M Team Swimming;Gold
HOPPENBERG, Ernst;Swimming;200M Team Swimming;Gold
SCHÖNE, Max;Swimming;200M Team Swimming;Gold
VON PETERSDORFF, Herbert;Swimming;200M Team Swimming;Gold
BERTRAND;Swimming;200M Team Swimming;Silver
CADET;Swimming;200M Team Swimming;Silver
HOCHEPIED, Maurice;Swimming;200M Team Swimming;Silver
HOCHEPIED, Victor;Swimming;200M Team Swimming;Silver
VERBECKE;Swimming;200M Team Swimming;Silver
MARTIN, Louis;Swimming;4000M Freestyle;Bronze
JARVIS, John Arthur;Swimming;4000M Freestyle;Gold
HALMAY, Zoltan;Swimming;4000M Freestyle;Silver
LYKKEBERG, Peder;Swimming;Underwater Swimming;Bronze
DE VENDEVILLE, Charles;Swimming;Underwater Swimming;Gold
SIX, Andr??;Swimming;Underwater Swimming;Silver
BURGESS, Thomas;Water polo;Water Polo;Bronze
COULON;Water polo;Water Polo;Bronze
DECUYPER, Alphonse;Water polo;Water Polo;Bronze
DEVENOT;Water polo;Water Polo;Bronze
FARDELLE;Water polo;Water Polo;Bronze
FAVIER;Water polo;Water Polo;Bronze
LAUFRAY, Louis;Water polo;Water Polo;Bronze
LERICHE;Water polo;Water Polo;Bronze
MARTIN, Louis;Water polo;Water Polo;Bronze
MERCHEZ, D??sir??;Water polo;Water Polo;Bronze
PESLIER, Henri;Water polo;Water Polo;Bronze
PESLOY;Water polo;Water Polo;Bronze
TREFFEL, Charles;Water polo;Water Polo;Bronze
VASSEUR, Paul;Water polo;Water Polo;Bronze
COE, Thomas;Water polo;Water Polo;Gold
DERBYSHIRE, John Henry;Water polo;Water Polo;Gold
KEMP, Peter;Water polo;Water Polo;Gold
LISTER, William;Water polo;Water Polo;Gold
ROBERTSON, Arthur;Water polo;Water Polo;Gold
ROBINSON, Eric;Water polo;Water Polo;Gold
WILKINSON, George;Water polo;Water Polo;Gold
COHEN, Henri;Water polo;Water Polo;Silver
DE BACKER, Jean;Water polo;Water Polo;Silver
DE BEHR, Victor;Water polo;Water Polo;Silver
FEYAERTS, Fernand;Water polo;Water Polo;Silver
GREGOIRE, Oscar;Water polo;Water Polo;Silver
MICHANT, Albert;Water polo;Water Polo;Silver
SONNEMANS, Victor;Water polo;Water Polo;Silver
PETIT, Charles Fr??d??ric;Archery;Au Chapelet, 33M;Bronze
VAN INNIS, Hubert;Archery;Au Chapelet, 33M;Gold
THIBAUD, Victor;Archery;Au Chapelet, 33M;Silver
MERCIER, Emile;Archery;Au Chapelet, 50M;Bronze
MOUGIN, Eug??ne;Archery;Au Chapelet, 50M;Gold
HELLE, Henri;Archery;Au Chapelet, 50M;Silver
PETIT, Charles Fr??d??ric;Archery;Au Cordon Dor??, 33M;Bronze
VAN INNIS, Hubert;Archery;Au Cordon Dor??, 33M;Gold
THIBAUD, Victor;Archery;Au Cordon Dor??, 33M;Silver
FISSEUX, Emile;Archery;Au Cordon Dor??, 50M;Bronze
HEROUIN, Henri;Archery;Au Cordon Dor??, 50M;Gold
VAN INNIS, Hubert;Archery;Au Cordon Dor??, 50M;Silver
FOULON, Emmanuel;Archery;Sur La Perche ?� La Herse;Gold
DRUART, Jr.;Archery;Sur La Perche ?� La Herse;Silver
SERRURIER, Auguste;Archery;Sur La Perche ?� La Herse;Silver
GLINEUX, Louis;Archery;Sur La Perche ?� La Pyramide;Bronze
GRUMIAUX, Emile;Archery;Sur La Perche ?� La Pyramide;Gold
SERRURIER, Auguste;Archery;Sur La Perche ?� La Pyramide;Silver
ROWLEY, Stanley;Athletics;100M;Bronze
JARVIS, Francis;Athletics;100M;Gold
TEWKSBURY, Walter B. John;Athletics;100M;Silver
MOLONEY, Frederick;Athletics;110M Hurdles;Bronze
KRAENZLEIN, Alvin;Athletics;110M Hurdles;Gold
MCLEAN, John;Athletics;110M Hurdles;Silver
BRAY, John;Athletics;1500M;Bronze
BENNETT, Charles;Athletics;1500M;Gold
DELOGE, Henri;Athletics;1500M;Silver
ROWLEY, Stanley;Athletics;200M;Bronze
TEWKSBURY, Walter B. John;Athletics;200M;Gold
PRITCHARD, Norman;Athletics;200M;Silver
TEWKSBURY, Walter B. John;Athletics;200M Hurdles;Bronze
KRAENZLEIN, Alvin;Athletics;200M Hurdles;Gold
PRITCHARD, Norman;Athletics;200M Hurdles;Silver
CHASTANIE, Jacques;Athletics;3000M Steeplechase;Bronze
ORTON, George;Athletics;3000M Steeplechase;Gold
ROBINSON, Sidney;Athletics;3000M Steeplechase;Silver
ROBINSON, Sidney;Athletics;4000M Steeplechase;Bronze
RIMMER, John;Athletics;4000M Steeplechase;Gold
BENNETT, Charles;Athletics;4000M Steeplechase;Silver
SCHULTZ, Ernst;Athletics;400M;Bronze
LONG, Maxwell W.Maxey;Athletics;400M;Gold
HOLLAND, William;Athletics;400M;Silver
ORTON, George;Athletics;400M Hurdles;Bronze
TEWKSBURY, Walter B. John;Athletics;400M Hurdles;Gold
TAUZIN, Henri;Athletics;400M Hurdles;Silver
BENNETT, Charles;Athletics;5000M Team;Gold
RIMMER, John;Athletics;5000M Team;Gold
ROBINSON, Sidney;Athletics;5000M Team;Gold
ROWLEY, Stanley;Athletics;5000M Team;Gold
TYSOE, Alfred;Athletics;5000M Team;Gold
CASTANET, Andr??;Athletics;5000M Team;Silver
CHAMPOUDRY, Michel;Athletics;5000M Team;Silver
CHASTANIE, Jacques;Athletics;5000M Team;Silver
DELOGE, Henri;Athletics;5000M Team;Silver
RAGUENEAU, Gaston;Athletics;5000M Team;Silver
ROWLEY, Stanley;Athletics;60M;Bronze
KRAENZLEIN, Alvin;Athletics;60M;Gold
TEWKSBURY, Walter B. John;Athletics;60M;Silver
HALL, David;Athletics;800M;Bronze
TYSOE, Alfred;Athletics;800M;Gold
CREGAN, John;Athletics;800M;Silver
SHELDON, Richard;Athletics;Discus Throw;Bronze
BAUER, Rudolf;Athletics;Discus Throw;Gold
JANDA, Frantisek;Athletics;Discus Throw;Silver
MCCRACKEN, Josiah;Athletics;Hammer Throw;Bronze
FLANAGAN, John Jesus;Athletics;Hammer Throw;Gold
HARE, Thomas Truxton;Athletics;Hammer Throw;Silver
GÖNCZY, Lajos;Athletics;High Jump;Bronze
BAXTER, Irving;Athletics;High Jump;Gold
LEAHY, Patrick Joseph;Athletics;High Jump;Silver
SHELDON, Lewis Pendleton;Athletics;High Jump, Standing;Bronze
EWRY, Ray;Athletics;High Jump, Standing;Gold
BAXTER, Irving;Athletics;High Jump, Standing;Silver
LEAHY, Patrick Joseph;Athletics;Long Jump;Bronze
KRAENZLEIN, Alvin;Athletics;Long Jump;Gold
PRINSTEIN, Meyer;Athletics;Long Jump;Silver
TORCHEBOEUF, Emile;Athletics;Long Jump, Standing;Bronze
EWRY, Ray;Athletics;Long Jump, Standing;Gold
BAXTER, Irving;Athletics;Long Jump, Standing;Silver
FAST, Ernst;Athletics;Marathon;Bronze
THEATO, Michel;Athletics;Marathon;Gold
CHAMPION, Emile;Athletics;Marathon;Silver
ANDERSEN, Carl Albert;Athletics;Pole Vault;Bronze
BAXTER, Irving;Athletics;Pole Vault;Gold
COLKETT, Meredith Bright;Athletics;Pole Vault;Silver
GARRETT, Robert;Athletics;Shot Put;Bronze
SHELDON, Richard;Athletics;Shot Put;Gold
MCCRACKEN, Josiah;Athletics;Shot Put;Silver
SHELDON, Lewis Pendleton;Athletics;Triple Jump;Bronze
PRINSTEIN, Meyer;Athletics;Triple Jump;Gold
CONNOLLY, James;Athletics;Triple Jump;Silver
GARRETT, Robert;Athletics;Triple Jump, Standing;Bronze
EWRY, Ray;Athletics;Triple Jump, Standing;Gold
BAXTER, Irving;Athletics;Triple Jump, Standing;Silver
De AMEZOLA y ASPIZUA, Jos??;Basque Pelota;Cesta Punta;Gold
VILLOTA BAQUIOLA, Francisco;Basque Pelota;Cesta Punta;Gold
DURQUETTY, Maurice;Basque Pelota;Cesta Punta;Silver
ETCHEGARAY;Basque Pelota;Cesta Punta;Silver
BEACHCROFT, Charles;Cricket;Cricket;Gold
BIRKETT, Arthur Ernest;Cricket;Cricket;Gold
BOWERMAN, Alfred James;Cricket;Cricket;Gold
BUCKLEY, George John;Cricket;Cricket;Gold
BURCHELL, Francis Romulus;Cricket;Cricket;Gold
CHRISTIAN, Frederick William;Cricket;Cricket;Gold
CORNER, Harry Richard;Cricket;Cricket;Gold
CUMING, Frederick Wlliam;Cricket;Cricket;Gold
DONNE, William Stephen;Cricket;Cricket;Gold
POWLESLAND, Alfred James;Cricket;Cricket;Gold
SYMES, John;Cricket;Cricket;Gold
TOLLER, Montagu Henry;Cricket;Cricket;Gold
ANDERSON, W.;Cricket;Cricket;Silver
ATTRILL, W.T.;Cricket;Cricket;Silver
BRAID, J.;Cricket;Cricket;Silver
BROWNING, W.;Cricket;Cricket;Silver
HORNE, R.;Cricket;Cricket;Silver
JORDAN, T.H.;Cricket;Cricket;Silver
MCEVOY, A.;Cricket;Cricket;Silver
ROBINSON, D.;Cricket;Cricket;Silver
ROQUES, F.;Cricket;Cricket;Silver
SCHNEIDAU, A.J.;Cricket;Cricket;Silver
TERRY, Henry John;Cricket;Cricket;Silver
TOMALIN, P.H.;Cricket;Cricket;Silver
AUMOITTE;Croquet;Double;Gold
JOHIN;Croquet;Double;Gold
WAYDELICH;Croquet;Individual 1 Ball;Bronze
AUMOITTE;Croquet;Individual 1 Ball;Gold
JOHIN;Croquet;Individual 1 Ball;Silver
SAUTREAU;Croquet;Individual 2 Balls;Bronze
WAYDELICH;Croquet;Individual 2 Balls;Gold
VIGNEROT;Croquet;Individual 2 Balls;Silver
DAUMAIN, .....;Cycling Track;25 Kilometres;Bronze
BASTIEN, Louis;Cycling Track;25 Kilometres;Gold
HILDEBRAND, Louis;Cycling Track;25 Kilometres;Silver
LAKE, John Henry;Cycling Track;Sprint Indivual;Bronze
TAILLANDIER, Georges;Cycling Track;Sprint Indivual;Gold
SANZ, Fernand;Cycling Track;Sprint Indivual;Silver
VAN DE POELE, Georges;Jumping;High Jump;Bronze
GARDERES, Dominique Maximien;Jumping;High Jump;Gold
TRISSINO, Gian Giorgio;Jumping;High Jump;Gold
DE CHAMPSAVIN, Louis;Jumping;Individual;Bronze
HAEGEMAN, Aim??;Jumping;Individual;Gold
VAN DE POELE, Georges;Jumping;Individual;Silver
DE BELLEGARDE;Jumping;Long Jump Individual;Bronze
VAN LANGHENDONCK, Constant;Jumping;Long Jump Individual;Gold
TRISSINO, Gian Giorgio;Jumping;Long Jump Individual;Silver
SEE, Lon;Fencing;  Individual;Bronze
FONST, Ramon;Fencing;  Individual;Gold
PERREE, Louis;Fencing;  Individual;Silver
SEE, Lon;Fencing; , Amateurs And Masters;Bronze
AYAT, Albert;Fencing; , Amateurs And Masters;Gold
FONST, Ramon;Fencing; , Amateurs And Masters;Silver
LAURENT, Henri;Fencing; , Masters;Bronze
AYAT, Albert;Fencing; , Masters;Gold
BOUGNOL, Emile;Fencing; , Masters;Silver
BOULENGER, Marcel Jacques;Fencing;Foil Individual;Bronze
COSTE, Emile;Fencing;Foil Individual;Gold
MASSON, Henri;Fencing;Foil Individual;Silver
MIMIAGUE, Jean-Baptiste;Fencing;Foil, Masters;Bronze
MERIGNAC, Lucien;Fencing;Foil, Masters;Gold
KIRCHHOFFER, Alphonse;Fencing;Foil, Masters;Silver
FLESCH, Siegfried;Fencing;Sabre Individual;Bronze
DE LA FALAISE, Georges;Fencing;Sabre Individual;Gold
THIEBAUT, L??on;Fencing;Sabre Individual;Silver
NERALIC, Milan;Fencing;Sabre, Masters;Bronze
CONTE, Antonio;Fencing;Sabre, Masters;Gold
SANTELLI, Italo;Fencing;Sabre, Masters;Silver
DELBECQUE, Albert;Football;Football;Bronze
KELECOM, R.;Football;Football;Bronze
LEBOUTTE, Marcel;Football;Football;Bronze
LONDOT;Football;Football;Bronze
MOREAU, Ernest;Football;Football;Bronze
NEEFS, E.;Football;Football;Bronze
PELGRIMS, Georges;Football;Football;Bronze
RENIER, Alphonse;Football;Football;Bronze
SPANNOGHE, E.;Football;Football;Bronze
THORNTON, Erich;Football;Football;Bronze
VAN HEUCKELUM;Football;Football;Bronze
BUCKENHAM, Claude Percy;Football;Football;Gold
BURRIDGE, T.E.;Football;Football;Gold
CHALK, Alfred Ernest;Football;Football;Gold
GROSLING, William Sullivan;Football;Football;Gold
HASLAM, A.;Football;Football;Gold
JONES, J.H.;Football;Football;Gold
NICHOLAS, J.;Football;Football;Gold
QUASH, William Francis;Football;Football;Gold
SPACKMAN, F.G.;Football;Football;Gold
TURNER, R.R.;Football;Football;Gold
ZEALLEY, James Edward;Football;Football;Gold
ALLEMANE, Pierre;Football;Football;Silver
BACH;Football;Football;Silver
BLOCH, Jean;Football;Football;Silver
CANELLE, Fernand;Football;Football;Silver
DUPARC;Football;Football;Silver
FRAYSSE;Football;Football;Silver
GAILLARD;Football;Football;Silver
GARNIER, Ren??;Football;Football;Silver
GRANDJEAN;Football;Football;Silver
HUTEAU;Football;Football;Silver
LAMBERT;Football;Football;Silver
MACAIRE;Football;Football;Silver
PELTIER;Football;Football;Silver
ROBERTSON, David Donaldson;Golf;Individual;Bronze
SANDS, Charles Edward;Golf;Individual;Gold
RUTHERFORD, Walter;Golf;Individual;Silver
PRATT, Daria;Golf;Individual;Bronze
ABBOTT, Margaret Ives;Golf;Individual;Gold
WHITTIER, Pauline;Golf;Individual;Silver
DEMANET, Lucien;Artistic G.;Individual All-Round;Bronze
SANDRAS, Gustave;Artistic G.;Individual All-Round;Gold
BAS, No??l;Artistic G.;Individual All-Round;Silver
BOUSSOD, Jean;Polo;Polo;Bronze
DUC DE BISACCIA, Louis;Polo;Polo;Bronze
FAUQUET LEMAITRE, A.;Polo;Polo;Bronze
RAOUL-DUVAL, Maurice;Polo;Polo;Bronze
DALY, Dennis;Polo;Polo;Gold
KEENE, Foxhall Parker;Polo;Polo;Gold
MACKEY, Frank Jay;Polo;Polo;Gold
RAWLINSON, Alfred;Polo;Polo;Gold
BUCKMASTER, Walter Selby;Polo;Polo;Silver
COMTE DE MADRE, Jos?? Pierre M.J.;Polo;Polo;Silver
FREAKE, Frederick Maitland;Polo;Polo;Silver
MCCREERY, Walter Adolph;Polo;Polo;Silver
BRANDT, Francois Antoine;Rowing;Eight With Coxswain (8+);Bronze
BROCKMANN, Hermanus Gerardus;Rowing;Eight With Coxswain (8+);Bronze
KLEIN, Roelof;Rowing;Eight With Coxswain (8+);Bronze
LEEGSTRA, Ruud Gerbens;Rowing;Eight With Coxswain (8+);Bronze
MIDDELBERG, Walter;Rowing;Eight With Coxswain (8+);Bronze
OFFERHAUS, Hendrik Karel;Rowing;Eight With Coxswain (8+);Bronze
THIJSSEN, Walter;Rowing;Eight With Coxswain (8+);Bronze
TROMP, Henricus;Rowing;Eight With Coxswain (8+);Bronze
VAN DIJK, Johannes Wilhelmus Maria;Rowing;Eight With Coxswain (8+);Bronze
ABELL, Louis;Rowing;Eight With Coxswain (8+);Gold
CARR, William;Rowing;Eight With Coxswain (8+);Gold
DEBAECKE, Harry;Rowing;Eight With Coxswain (8+);Gold
EXLEY, John;Rowing;Eight With Coxswain (8+);Gold
GEIGER, John;Rowing;Eight With Coxswain (8+);Gold
HEDLEY, Edward;Rowing;Eight With Coxswain (8+);Gold
JUVENAL, James;Rowing;Eight With Coxswain (8+);Gold
LOCKWOOD, Roscoe;Rowing;Eight With Coxswain (8+);Gold
MARSH, Edward;Rowing;Eight With Coxswain (8+);Gold
BRUGGEMAN, Prosp??re;Rowing;Eight With Coxswain (8+);Silver
DE BISSCHOP, Jules;Rowing;Eight With Coxswain (8+);Silver
DE COCK, Oscar;Rowing;Eight With Coxswain (8+);Silver
DE SOMVILLE, Oscar Charles;Rowing;Eight With Coxswain (8+);Silver
HEMELSOET, Maurice;Rowing;Eight With Coxswain (8+);Silver
ODBERG, Frank;Rowing;Eight With Coxswain (8+);Silver
VAN CROMBRUGGHE, Marcel Lucien;Rowing;Eight With Coxswain (8+);Silver
VAN LANDEGHEM, Alfred;Rowing;Eight With Coxswain (8+);Silver
VERDONCK, Maurice;Rowing;Eight With Coxswain (8+);Silver
CARSTENS, Wilhelm;Rowing;Four-Oared Shell With Coxswain (4-);Bronze
FELLE, Ernst;Rowing;Four-Oared Shell With Coxswain (4-);Bronze
FICKEISEN, Otto;Rowing;Four-Oared Shell With Coxswain (4-);Bronze
KÖRNER, Julius;Rowing;Four-Oared Shell With Coxswain (4-);Bronze
KRÖWERATH, Franz;Rowing;Four-Oared Shell With Coxswain (4-);Bronze
LEHLE, Carl;Rowing;Four-Oared Shell With Coxswain (4-);Bronze
MÖLLER, Adolf;Rowing;Four-Oared Shell With Coxswain (4-);Bronze
MOTHS, Gustav Adolf;Rowing;Four-Oared Shell With Coxswain (4-);Bronze
RÜSTER, Hugo;Rowing;Four-Oared Shell With Coxswain (4-);Bronze
WILKER, Hermann;Rowing;Four-Oared Shell With Coxswain (4-);Bronze
BOUCKAERT, Henri;Rowing;Four-Oared Shell With Coxswain (4-);Gold
CAU, Jean;Rowing;Four-Oared Shell With Coxswain (4-);Gold
CHARLOT;Rowing;Four-Oared Shell With Coxswain (4-);Gold
DELCHAMBRE, Emile;Rowing;Four-Oared Shell With Coxswain (4-);Gold
